title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Crispy Ginger Beef,https://www.allrecipes.com/recipe/237807/crispy-ginger-beef/,5,25m,20m,45m,"0.75 cup cornstarch | 0.5 cup water | 2 large eggs | 1 pound flank steak, cut into thin strips | 0.5 cup canola oil, or as needed | 1 large carrot, cut into matchstick-size pieces | 1 green bell pepper, cut into matchstick-size pieces | 1 red bell pepper, cut into matchstick-size pieces | 3 green onions, chopped | 0.25 cup minced fresh ginger root | 5 garlic cloves, minced | 0.5 cup white sugar | 0.25 cup rice vinegar | 3 tablespoons soy sauce | 1 tablespoon sesame oil | 1 tablespoon red pepper flakes, or to taste","2. Place cornstarch in a large bowl; gradually whisk in water until smooth. Whisk eggs into cornstarch mixture; toss steak strips in mixture to coat. | 3. Pour canola oil into a wok, 1-inch deep; heat oil over high heat until hot but not smoking. Place 1/4 of the beef strips into hot oil; separate strips with a fork. Cook, stirring frequently, until coating is crisp and golden, about 3 minutes. Remove beef to drain on paper towels; repeat with remaining beef. | 4. Drain off all but 1 tablespoon oil; cook and stir carrot, bell peppers, green onions, ginger, and garlic over high heat until lightly browned but still crisp, about 3 minutes. | 5. Whisk sugar, rice vinegar, soy sauce, sesame oil, and red pepper flakes together in a small bowl. Pour sauce mixture over vegetables in wok; bring mixture to a boil. Stir beef back into vegetable mixture; cook and stir just until heated through, about 3 minutes.",364kcal,14g,4g,103mg,614mg,45g,2g,23g,15g,54mg,39mg,3mg,398mg
Lumpia - Filipino Shrimp and Pork Egg Rolls,https://www.allrecipes.com/recipe/94757/lumpia-filipino-shrimp-and-pork-egg-rolls/,75,1h 0m,30m,1h 30m,"1 pound ground pork | 1 cup finely chopped raw shrimp | 0.5 cup finely chopped onion | 0.5 cup grated carrots | 0.25 cup finely chopped green onions | 3 tablespoons soy sauce | 1 teaspoon monosodium glutamate (MSG) | 1 teaspoon salt | 0.5 teaspoon black pepper | 1 (16 ounce) package spring roll wrappers | 1 egg white, beaten | 1 quart vegetable oil for frying","2. Combine ground pork, shrimp, onion, carrots, green onions, soy sauce, MSG, salt, and black pepper in a bowl until well mixed. | 3. Place wrappers on a plate; cover with a damp cloth. Place 1 wrapper on a work surface; spoon ground pork filling in a thin line (the width of your little finger) across one side of wrapper, about 1/2 inch from edge. Roll wrapper tightly around filling; seal edges with egg white. Repeat with remaining wrappers, filling, and egg white. | 4. Heat oil in a deep heavy pan or deep fryer to 375 degrees F (190 degrees C). Lower lumpia in batches of 3 to 4 carefully into the hot oil; fry, turning once, until rolls float and turn golden brown, about 3 minutes. Drain on paper towels, cut rolls into thirds, if desired. Repeat with remaining lumpia.",43kcal,2g,1g,7mg,115mg,4g,0g,0g,2g,0mg,5mg,0mg,30mg
Schnitzel,https://www.allrecipes.com/recipe/84242/schnitzel/,4,10m,1h 0m,1h 10m,"1 cup self-rising flour | 1 cup self-rising cornmeal | 1 teaspoon salt | 1 teaspoon pepper | 1 cup milk | 3 eggs | 0.25 cup vegetable oil | 4 (4 ounce) beef cube steaks | 2 teaspoons lemon juice, or to taste","2. In a shallow bowl, stir together the flour, cornmeal, salt and pepper. In a separate shallow bowl, whisk together the milk and eggs using a fork. | 3. Heat oil in a large skillet over medium-high heat. The oil should completely cover the bottom of the skillet. While the oil heats, dip cube steaks into the egg and milk, then dip into the flour mixture, and shake off the excess. Place in the hot skillet. | 4. Fry steaks on each side until golden brown, then reduce the heat to medium and cook until well done. Do not cover. Drizzle with lemon juice before serving.",677kcal,31g,8g,215mg,1766mg,60g,4g,3g,38g,2mg,261mg,7mg,601mg
General Tao Chicken,https://www.allrecipes.com/recipe/146579/general-tao-chicken/,6,25m,25m,50m,"2 pounds skinless, boneless chicken breast halves - cut into bite-size pieces | 0.25 cup cornstarch | 2 large eggs | 1 teaspoon salt | 0.5 teaspoon ground black pepper | 6 tablespoons all-purpose flour | 1 teaspoon baking powder | 0.5 cup vegetable oil | 0.5 cup chopped green onion | 2 tablespoons grated fresh ginger root | 4 teaspoons sesame oil | 0.5 cup water | 0.5 cup white sugar | 0.25 cup distilled white vinegar | 2 tablespoons cornstarch | 2 tablespoons soy sauce | 0.25 cup oyster sauce | 0.25 cup ketchup","2. Gather the ingredients. | 3. Coat chicken pieces with cornstarch in a bowl; set aside. Beat eggs, salt, and pepper in a mixing bowl until combined. Stir in flour and baking powder until no large lumps remain. Mix in chicken pieces until evenly coated. | 4. Heat vegetable oil in a large skillet or wok over high heat. Cook chicken in hot oil until golden brown and no longer pink on the inside, about 12 minutes. Set chicken aside; keep warm. | 5. Make sauce: Reduce heat to medium-high; add green onion, ginger, and sesame oil to the skillet. Cook and stir until onion is limp and ginger begins to brown, about 1 minute. Pour in water, sugar, and vinegar; bring to a boil | 6. Dissolve cornstarch in soy sauce in a small bowl and stir into vinegar mixture along with oyster sauce and ketchup. Cook until sauce has thickened and is no longer cloudy. Stir in chicken; simmer until heated through.",522kcal,27g,5g,148mg,1055mg,35g,1g,19g,35g,3mg,82mg,2mg,375mg
Sunomono (Japanese Cucumber Salad),https://www.allrecipes.com/recipe/14050/cucumber-sunomono/,5,15m,not provided,15m,"2 large cucumbers, peeled | 0.33333334326744 cup rice vinegar | 4 teaspoons white sugar | 1.5 teaspoons minced fresh ginger root | 1 teaspoon salt","2. Gather all ingredients. | 3. Cut cucumbers in half lengthwise and scoop out any large seeds. Slice crosswise into very thin slices. | 4. Place vinegar, sugar, ginger, and salt in a small bowl; mix well to combine. Add cucumber slices and stir to coat.",27kcal,0g,not provided,not provided,467mg,6g,1g,3g,1g,3mg,16mg,0mg,168mg
Beef Stifado in the Slow Cooker,https://www.allrecipes.com/recipe/268640/beef-stifado-in-the-slow-cooker/,6,15m,6h 10m,6h 25m,"3 tablespoons olive oil, divided | 2 pounds cubed beef stew meat | 1 large onion, roughly chopped | 2 cloves garlic, crushed | 1 (14.5 ounce) can diced tomatoes | 1 (3 inch) cinnamon stick | 2 large bay leaves | 1 sprig fresh rosemary | 1 teaspoon ground nutmeg | 0.063 teaspoon ground black pepper, or to taste | salt to taste | 1 cup red wine | 2 tablespoons vinegar | 2 tablespoons ketchup, or more to taste | 1 pound baby shallots, peeled","2. Heat 2 tablespoons oil in a large skillet over high heat. Add beef, onion, and garlic; cook and stir until meat is browned on all sides and onion is translucent, 6 to 8 minutes. Add tomatoes, cinnamon stick, bay leaves, rosemary, pepper, and salt. Cook over medium heat, stirring occasionally, for about 3 minutes. Stir in wine and vinegar. | 3. Pour beef mixture into a slow cooker and stir in ketchup. Cover and cook on Low until beef is tender, 6 to 8 hours. | 4. Meanwhile, heat remaining 1 tablespoon oil in a skillet. Add shallots and sauté until soft, 3 to 4 minutes. Add cooked shallots to stew for the last 1 to 2 hours of cooking. | 5. Remove and discard cinnamon stick, bay leaves, and rosemary sprig before serving.",378kcal,16g,4g,80mg,261mg,21g,2g,7g,31g,14mg,77mg,6mg,781mg
Pork Sinigang,https://www.allrecipes.com/recipe/204958/pork-sinigang/,4,15m,1h 0m,1h 15m,"1 tablespoon vegetable oil | 1 small onion, chopped | 1 teaspoon salt | 1 (1/2 inch) piece fresh ginger, chopped | 2 plum tomatoes, cut into 1/2-inch dice | 1 pound bone-in pork chops | 4 cups water, more if needed | 1 (1.41 ounce) package tamarind soup base (such as Knorr®) | 0.5 pound fresh green beans, trimmed","2. Heat vegetable oil in a skillet over medium heat. Add onion; cook and stir until softened and translucent, about 5 minutes. Season with salt. | 3. Stir in ginger, tomatoes, and pork chops. Cover and reduce heat to medium-low. Turn the pork occasionally, until browned. | 4. Pour in water and tamarind soup base. Bring to a boil, then reduce heat and simmer until the pork is tender and cooked through, about 30 minutes. | 5. Stir in green beans and cook until tender.",240kcal,9g,2g,64mg,2598mg,12g,3g,3g,27g,18mg,66mg,2mg,702mg
Garlic Rice,https://www.allrecipes.com/recipe/86755/garlic-rice/,4,5m,15m,20m,2 tablespoons vegetable oil | 2 tablespoons ground pork | 1.5 tablespoons chopped garlic | 4 cups cooked white rice | 1.5 teaspoons garlic salt | ground black pepper to taste,"2. Gather the ingredients. | 3. Heat oil in a large skillet over medium-high heat. Cook and stir ground pork and garlic in hot oil until garlic is golden brown; do not allow garlic to burn, or it will taste bitter. | 4. Stir in cooked rice; season with garlic salt and black pepper. | 5. Cook and stir until heated through and well blended, about 3 minutes.",293kcal,9g,2g,6mg,686mg,46g,1g,0g,6g,1mg,25mg,2mg,98mg
"Grillhaxe (Grilled Eisbein, Pork Shanks)",https://www.allrecipes.com/recipe/222015/grillhaxe-grilled-eisbein-pork-shanks/,12,10m,3h 0m,3h 10m,1 cup olive oil | 2 tablespoons dried marjoram | 2 tablespoons dried basil | 2 tablespoons chopped fresh thyme | 2 tablespoons chopped fresh rosemary | 2 tablespoons sea salt | 1 teaspoon paprika | 1 teaspoon ground black pepper | 1 teaspoon vegetable bouillon powder | 6 (1 1/2) pounds pork shanks,"2. Preheat oven to 350 degrees F (175 degrees C). | 3. Whisk olive oil, marjoram, basil, rosemary, thyme, sea salt, paprika, black pepper, and vegetable bouillon powder together in a bowl. Rub pork shanks with herb rub and arrange on a large baking pan. | 4. Roast in preheated oven until shanks are tender and outer skin is crispy, about 3 hours.",532kcal,28g,6g,186mg,3081mg,1g,1g,2g,71g,1mg,21mg,11mg,39mg
Filipino Fish Escabeche,https://www.allrecipes.com/recipe/212954/filipino-fish-escabeche/,4,15m,30m,45m,"1 cup oil for frying | 1 (4 ounce) whole tilapia, cleaned and scaled | salt to taste | 3 tablespoons olive oil | 1 onion, chopped | 2 cloves garlic, minced | 1 red bell pepper, cut into chunks | 1 (1 inch) piece ginger, thinly sliced crosswise, or to taste | 1.25 cups water | 1 cup distilled white vinegar | 5 tablespoons white sugar | salt and ground black pepper to taste | 1 tablespoon cornstarch","2. Heat oil in a deep fryer or large saucepan to 350 degrees F (175 degrees C). | 3. Pat fish dry with a paper towel. Cut 2 to 3 slits on either side of fish; sprinkle salt on top. Fry in hot oil until browned, about 2 minutes per side. | 4. Heat olive oil in a skillet over medium-high heat. Sauté onion and garlic until onion is translucent, about 5 minutes. Add red bell pepper and ginger; sauté until fragrant, about 2 minutes. | 5. Mix water, vinegar, and sugar together in a bowl; pour into onion mixture in the skillet. Cover and bring to a boil. Cook until slightly reduced, about 2 minutes. Season with salt and pepper. Add cornstarch. Boil, stirring often, until sauce is thickened, about 5 minutes. Pour sauce over fish.",259kcal,16g,2g,10mg,95mg,23g,1g,18g,6g,41mg,23mg,0mg,230mg
Empanada Dough,https://www.allrecipes.com/recipe/212956/empanada-dough/,24,20m,not provided,20m,"2 cups all-purpose flour | 0.33333334326744 cup white sugar | 0.5 teaspoon salt | 0.5 cup water | 1 large egg yolk | 2 tablespoons all-purpose flour for dusting | 2 tablespoons butter, melted","2. Gather all ingredients. | 3. Whisk 2 cups flour, sugar, and salt together in a bowl until well blended. Make a well in the center. | 4. Whisk water and egg yolk together in a small bowl until smooth; pour into the well and mix to form a stiff dough. | 5. Transfer the dough to a lightly floured surface and knead until smooth and elastic, about 8 minutes. | 6. Roll dough with a rolling pin until thin, dusting with flour as needed to prevent sticking. | 7. Brush melted butter over top and roll dough into a log. | 8. Cut the log crosswise into about 24 slices. Roll each slice into a disk. | 9. Preheat the oven to 350 degrees F (175 degrees C). Fill each empanada disk with about 1 tablespoon of your favorite filling. (Try lola&#39;s recipe for Empanada Pork Filling to make Filipino-style empanadas.) | 10. Fold the disk over the filling into a half-moon and seal firmly. | 11. Place empanadas onto a foil-lined baking sheet and brush the tops with beaten egg white. | 12. Bake in the preheated oven until golden brown, about 30 minutes.",62kcal,1g,1g,11mg,56mg,11g,0g,3g,1g,not provided,3mg,1mg,13mg
Easy Curry Sauce,https://www.allrecipes.com/recipe/25881/basic-curry-sauce/,8,15m,30m,45m,"2 tablespoons peanut oil | 1 tablespoon margarine | 1 large onion, chopped | 2 tablespoons minced garlic | 1 tablespoon minced fresh ginger root | 2 tablespoons ground coriander | 2 tablespoons ground cumin | 1 teaspoon ground cinnamon | 1 teaspoon ground black pepper | 1 teaspoon cayenne pepper | 0.25 teaspoon ground turmeric | 2 tomatoes | 2 serrano chile peppers, seeded | 0.5 cup fresh cilantro | 0.5 cup yogurt, whisked until smooth | 3 cups water","2. Gather all ingredients. | 3. Heat oil and margarine in a small skillet or wok over medium-high heat. Add onion and sauté until very brown, 10 to 15 minutes; do not undercook or sauce will taste funny. | 4. Add garlic and ginger to onions; sauté for an additional 2 minutes. | 5. Transfer mixture to a food processor and blend until smooth. Do not rinse the food processor. Place blended onion mixture in a large saucepan. Stir in coriander, cumin, cinnamon, black pepper, cayenne pepper, and turmeric; cook over low heat until mixture is thick and has a paste-like consistency. | 6. Purée tomatoes, chile peppers, and cilantro in the food processor until smooth. | 7. Add to onion mixture and stir over low heat, cooking off moisture from tomatoes and peppers. | 8. Add yogurt a little bit at a time, stirring constantly to avoid curdling. | 9. Blend mixture in the food processor until smooth | 10. Return to saucepan, add water, and increase heat to high; bring sauce to a rolling boil. Cover saucepan and boil for 3 to 5 minutes. | 11. Reduce heat and simmer until desired consistency is reached.",75kcal,6g,1g,1mg,35mg,6g,1g,not provided,2g,4mg,69mg,2mg,144mg
Mexican Vegetarian Stuffed Peppers ,https://www.allrecipes.com/recipe/231514/vegetarian-mexican-inspired-stuffed-peppers/,4,15m,40m,55m,"1 tablespoon salt | 4 large green bell peppers - tops, seeds, and membranes removed | 1 tablespoon olive oil | 0.5 cup chopped onion | 2 cups cooked rice | 1 (15 ounce) can black beans, drained and rinsed | 1 (14.5 ounce) can chili-style diced tomatoes | 1 teaspoon chili powder | 1 teaspoon garlic salt | 0.5 teaspoon ground cumin | 0.5 teaspoon salt | 1 (8 ounce) package shredded Mexican cheese blend (such as Sargento® Authentic Mexican)","2. Preheat the oven to 350 degrees F (175 degrees C). | 3. Bring a large pot of water and 1 tablespoon salt to a boil. Add green bell peppers and cook until slightly softened, 3 to 4 minutes. This will prevent the bell peppers from becoming crispy as they bake. | 4. Drain bell peppers and arrange cut-side up in a 9x9-inch baking dish. | 5. Heat olive oil in a skillet over medium heat. Add onion; cook and stir until softened, 5 to 10 minutes. | 6. Transfer cooked onion into a large bowl; add rice, black beans, and tomatoes. Stir in chili powder, garlic salt, cumin, and 1/2 teaspoon salt until well combined. Fold in 1 1/2 cups Mexican cheese blend. | 7. Spoon rice mixture evenly into bell peppers; sprinkle with remaining Mexican cheese blend. | 8. Bake in the preheated oven until cheese is melted and bubbling, about 30 minutes.",509kcal,23g,14g,55mg,1964mg,56g,12g,not provided,24g,143mg,458mg,4mg,845mg
Lolah&#39;s Chicken Adobo,https://www.allrecipes.com/recipe/152243/lolahs-chicken-adobo/,8,10m,1h 10m,1h 20m,"3 tablespoons vegetable oil | 3 pounds boneless, skinless chicken thighs, rinsed and patted dry | 6 cloves garlic, peeled and thinly sliced | 0.5 cup soy sauce | 0.5 cup apple cider vinegar | 0.5 cup water | 2 tablespoons pickling spice, wrapped in cheesecloth","2. Heat oil in a large pot over medium heat until oil is shimmering. Cook garlic in oil for no more than 30 seconds. Add all of the chicken to the pot; cook, stirring frequently, until chicken is white all over. Do not brown. | 3. Pour in soy sauce, vinegar, and water, and add the pickling spice. Make sure the spice ball is submerged. Bring to a boil, reduce heat to simmer, and place lid on pot so that some steam can escape. Simmer for 1 hour, or until chicken is very tender.",265kcal,12g,3g,141mg,1050mg,3g,0g,0g,35g,1mg,26mg,2mg,448mg
Easy-Made German Quark,https://www.allrecipes.com/recipe/237361/easy-made-german-quark/,28,10m,2h 15m,3h 10m,0.5 gallon whole-milk buttermilk | 1 cup heavy whipping cream,2. Preheat oven to 200 degrees F (95 degrees C). Line a colander with cheese cloth and place over a large pot in the sink. | 3. Gently mix buttermilk and cream together in a 2-quart ceramic casserole dish. | 4. Cook in the preheated oven for 2 hours and 15 minutes. | 5. Pour buttermilk mixture into the prepared colander; drain for 45 to 60 minutes. Transfer drained cheese to a bowl and beat with an electric hand mixer until smooth and creamy. Store in the refrigerator.,91kcal,6g,3g,19mg,77mg,4g,not provided,not provided,2g,0mg,6mg,not provided,6mg
