ingredient,effect,reason
asian pear,positive,"Provides dietary fiber and potassium, which are beneficial for blood pressure and heart health."
asparagus,positive,"Contains fiber, folate, and potassium, which support heart health by managing blood pressure and homocysteine levels."
asturian fabada bean,positive,"All beans are high in soluble fiber, which helps lower LDL (bad) cholesterol."
avocado,positive,"Rich in heart-healthy monounsaturated fats and potassium, which help lower bad cholesterol and blood pressure."
baby bella mushroom,positive,"Provides potassium and fiber, and is low in sodium, supporting healthy blood pressure."
baby bok choy,positive,A leafy green vegetable rich in vitamins and minerals that support overall cardiovascular health.
baby carrot,positive,"A source of fiber and antioxidants like beta-carotene, which are beneficial for heart health."
baby corn ear,positive,A vegetable that provides fiber and is low in fat and sodium.
baby pea,positive,"Rich in fiber and plant-based protein, which can help manage cholesterol and blood pressure."
baby potato,positive,"A good source of potassium, which helps regulate blood pressure. Best consumed with the skin on."
baby red potato,positive,"A good source of potassium, which helps regulate blood pressure. Best consumed with the skin on."
baby spinach leaf,positive,"Rich in nitrates, potassium, and magnesium, which help lower blood pressure and support heart function."
bacon,very negative,"Extremely high in saturated fat and sodium, and is a processed meat linked to increased cardiovascular disease risk."
bacon dripping,very negative,"A concentrated source of saturated fat and sodium, which significantly raises LDL cholesterol and blood pressure."
bacon strip,very negative,"Extremely high in saturated fat and sodium, and is a processed meat linked to increased cardiovascular disease risk."
bakers ammonia,neutral,
baking potato,positive,"Excellent source of potassium, which is crucial for managing blood pressure."
baking powder,negative,"Contains sodium, which can contribute to high blood pressure when consumed in excess."
baking soda,negative,"Is a source of sodium (sodium bicarbonate), which can contribute to high blood pressure."
balsamic vinegar,positive,Contains antioxidants and may help improve cholesterol levels and blood pressure.
bamboo shoot,positive,"High in fiber and potassium, which are beneficial for blood pressure and cholesterol management."
bamboo skewer,neutral,
banana,positive,"Very high in potassium, a key mineral for controlling blood pressure."
banana extract,neutral,
banana pepper,positive,"A vegetable providing vitamins and capsaicin, which may have modest benefits for circulation."
barbecue sauce,negative,"Usually high in both added sugar and sodium, which can negatively impact blood pressure and triglycerides."
barberry,positive,"Contains berberine, a compound that may help lower cholesterol and blood sugar levels."
basil,positive,Rich in antioxidants and anti-inflammatory compounds that support cardiovascular health.
basil leaf,positive,Rich in antioxidants and anti-inflammatory compounds that support cardiovascular health.
basmati rice,negative,A refined carbohydrate that can raise blood sugar levels; whole grain alternatives are better for heart health.
bavarian style sauerkraut,negative,"While fermented, it is typically extremely high in sodium, which can significantly raise blood pressure."
bay leaf,neutral,
bay powder,neutral,
bean,positive,"Excellent source of soluble fiber, which actively lowers LDL (bad) cholesterol, and potassium."
bean sprout,positive,A low-calorie vegetable that provides fiber and nutrients without sodium or unhealthy fats.
bean thread,neutral,A refined starch noodle with minimal fiber or nutrients; its impact is minor compared to other refined grains.
beef,negative,"Can be high in saturated fat, which raises LDL (bad) cholesterol. Lean cuts in moderation are a better choice."
beef base,negative,"A concentrated flavoring that is typically very high in sodium, which contributes to high blood pressure."
beef birria,negative,"Typically made with fatty cuts of beef, high in saturated fat and sodium, which can increase cholesterol and blood pressure."
beef bouillon,very negative,"Extremely high in sodium, which is a major contributor to high blood pressure."
beef bouillon cube,very negative,"Extremely high in sodium, which is a major contributor to high blood pressure."
beef bouillon granule,very negative,"Extremely high in sodium, which is a major contributor to high blood pressure."
beef broth,negative,"Commercial versions are typically very high in sodium, which can raise blood pressure."
beef chuck,negative,"A fatty cut of red meat, high in saturated fat which can raise LDL ('bad') cholesterol levels."
beef chuck roast,negative,"A fatty cut of red meat, high in saturated fat which can raise LDL ('bad') cholesterol levels."
beef consomme,very negative,"Typically extremely high in sodium, which is a major contributor to high blood pressure."
beef cube steak,negative,"A cut of red meat; while often lean, red meat consumption is associated with increased cardiovascular risk."
beef eye of round roast,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef fat,very negative,"Primarily composed of saturated fat, which directly contributes to elevated LDL ('bad') cholesterol and atherosclerosis."
beef flank steak,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef gravy,very negative,Typically very high in both saturated fat (from drippings) and sodium.
beef oxtail,negative,"A very fatty and gelatinous cut of meat, high in saturated fat."
beef pot roast,negative,"Often made with fatty cuts of beef (like chuck), making it high in saturated fat."
beef ravioli,negative,"A processed food, typically high in sodium, saturated fat, and refined carbohydrates."
beef rib eye steak,very negative,"A heavily marbled cut of beef, making it extremely high in saturated fat."
beef roast,negative,"A general term for red meat, which is high in saturated fat and linked to increased cardiovascular risk."
beef round,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef round steak,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef rump roast,negative,"A moderately fatty cut of red meat, high in saturated fat."
beef short rib,very negative,"A very fatty cut of beef, extremely high in saturated fat."
beef shoulder,negative,"A moderately fatty cut of red meat, high in saturated fat."
beef sirloin,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef sirloin steak,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef skirt steak,negative,"A moderately fatty cut of red meat, high in saturated fat."
beef soup bone,negative,Contributes saturated fat from marrow and is used to make high-sodium broths.
beef steak,negative,"A general term for red meat, which is high in saturated fat and linked to increased cardiovascular risk."
beef stew meat,negative,"Often from fatty cuts like chuck, making it high in saturated fat."
beef stock,negative,"Commercial versions are typically very high in sodium, which can raise blood pressure."
beef tenderloin,negative,"A very lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef tenderloin steak,negative,"A very lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef tongue,very negative,Extremely high in saturated fat and cholesterol.
beef top round steak,negative,"A very lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef top sirloin,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef top sirloin steak,negative,"A lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beef tri tip,negative,"A moderately lean cut of red meat; while lower in saturated fat, high consumption of red meat is linked to cardiovascular risk."
beer,negative,"Excessive alcohol consumption can lead to high blood pressure, heart failure, and increased triglycerides."
beet,positive,"Rich in dietary nitrates, which can help lower blood pressure and improve blood flow."
belacan,very negative,"A fermented shrimp paste that is extremely high in sodium, a major contributor to high blood pressure."
belacan shrimp paste,very negative,"A fermented shrimp paste that is extremely high in sodium, a major contributor to high blood pressure."
bell pepper,positive,"Excellent source of potassium, fiber, and antioxidants like vitamin C, which support heart health."
birds eye chile,positive,"Contains capsaicin, which may help improve circulation and reduce cholesterol."
bitter melon,positive,"Studies suggest it may help lower cholesterol and blood sugar levels, both of which are risk factors for heart disease."
bitter orange marinade,negative,"Bitter orange contains synephrine, which can increase heart rate and blood pressure. Marinades are also often high in sodium."
bitter,neutral,
bittersweet chocolate,positive,"Rich in flavanols (especially with >70% cocoa), which can help lower blood pressure and improve blood vessel function."
black bean,positive,"High in soluble fiber, which helps lower cholesterol, and rich in heart-healthy minerals like magnesium and potassium."
black bean paste,negative,"Often prepared with high amounts of sodium, which can increase blood pressure."
black bean sauce,very negative,"Commercially prepared sauces are typically extremely high in sodium, a major contributor to high blood pressure."
black cardamom,positive,Contains antioxidants and has been studied for potential benefits in lowering blood pressure.
black cardamom pod,positive,Contains antioxidants and has been studied for potential benefits in lowering blood pressure.
black cardamom seed,positive,Contains antioxidants and has been studied for potential benefits in lowering blood pressure.
black cumin,positive,"Studies suggest it may help lower blood pressure, cholesterol, and inflammation."
black cumin seed,positive,"Studies suggest it may help lower blood pressure, cholesterol, and inflammation."
black garbanzo bean,positive,"A legume high in fiber, which helps lower cholesterol and supports heart health."
black italian olive,negative,"While a source of monounsaturated fats, olives are typically cured in brine, making them very high in sodium, a risk factor for high blood pressure."
black mustard seed,positive,Contains heart-healthy omega-3 fatty acids (ALA) and anti-inflammatory compounds.
black olive,negative,"While a source of monounsaturated fats, olives are typically cured in brine, making them very high in sodium, a risk factor for high blood pressure."
black pepper,positive,"Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation."
black peppercorn,positive,"Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation."
black sesame seed,positive,"Rich in healthy fats, fiber, and minerals like magnesium that support blood pressure control."
black soy sauce,very negative,"Extremely high in sodium, which is a primary driver of high blood pressure and cardiovascular strain."
black tea,positive,"Contains flavonoids, which are antioxidants linked to improved cholesterol levels and better blood vessel function."
black tea leaf,positive,"Contains flavonoids, which are antioxidants linked to improved cholesterol levels and better blood vessel function."
black treacle,negative,"A concentrated form of added sugar. High sugar intake is linked to increased triglycerides, inflammation, and heart disease risk."
blackberry,positive,Rich in fiber and heart-protective antioxidants called anthocyanins.
blood sausage,very negative,"A processed meat that is typically very high in saturated fat, cholesterol, and sodium, all major risk factors for cardiovascular disease."
blue food coloring,neutral,
blueberry,positive,"High in anthocyanins, antioxidants known to help lower blood pressure and improve blood vessel elasticity."
bok choy,positive,"A nutrient-dense, low-calorie leafy green vegetable that is a key component of a heart-healthy diet."
bologna slice,very negative,"A highly processed meat, very high in sodium, saturated fat, and preservatives linked to heart disease."
bone in beef shank,negative,"Red meat is a source of saturated fat, and high consumption is associated with an increased risk of cardiovascular disease."
boneless chuck roast,negative,"Red meat is a source of saturated fat, and high consumption is associated with an increased risk of cardiovascular disease."
boneless country style pork rib,negative,"Often a fatty cut of pork, high in saturated fat, which is a risk factor for heart disease."
bonito flake,positive,"A source of heart-healthy omega-3 fatty acids, which can help reduce triglycerides and inflammation."
bonito shaving,positive,"A source of heart-healthy omega-3 fatty acids, which can help reduce triglycerides and inflammation."
boston lettuce,positive,"A low-calorie, nutrient-dense leafy green vegetable, which is a key component of a heart-healthy diet."
bourbon whiskey,negative,"Excessive alcohol intake is a risk factor for high blood pressure, heart failure, and stroke."
braising liquid,neutral,"Effect is entirely dependent on its composition (e.g., high-sodium broth vs. vegetable-based)."
brandy,negative,"Excessive alcohol intake is a risk factor for high blood pressure, heart failure, and stroke."
brandy based orange liqueur,negative,"Contains both alcohol and high amounts of added sugar, which are risk factors for cardiovascular disease."
branzino,positive,"A lean fish that provides protein and omega-3 fatty acids, which are beneficial for heart health."
bratwurst,very negative,"A processed sausage, typically very high in saturated fat and sodium, strongly linked to cardiovascular disease."
bratwurst sausage,very negative,"A processed sausage, typically very high in saturated fat and sodium, strongly linked to cardiovascular disease."
bread,negative,"Typically refers to refined white bread, which lacks fiber and can negatively impact blood sugar and heart health risk factors."
bread crumb,negative,"Typically made from refined white bread, which lacks fiber and can negatively impact blood sugar and heart health risk factors."
bread dough,negative,"Typically made from refined white flour, which lacks fiber and can negatively impact blood sugar and heart health risk factors."
bread flour,negative,"A refined flour that lacks the fiber and nutrients of whole grains, which are protective for the heart."
bread machine yeast,neutral,
breast chop,negative,"Assumed to be a cut of meat (e.g., pork, lamb) which contains saturated fat, a risk factor for heart disease."
broccoli,positive,"High in fiber, vitamins, and antioxidants that are protective against heart disease."
broccoli floret,positive,"High in fiber, vitamins, and antioxidants that are protective against heart disease."
broccoli in cheese sauce,very negative,The high saturated fat and sodium content of the cheese sauce negates the benefits of the broccoli and is detrimental to heart health.
broth,negative,"Commercially prepared broths are typically very high in sodium, a major risk factor for high blood pressure."
brown gravy mix,very negative,"A highly processed product, extremely high in sodium and often containing unhealthy fats and refined starches."
brown lentil,positive,"Excellent source of heart-healthy fiber, plant-based protein, and potassium."
brown rice,positive,"A whole grain rich in fiber, which is linked to a lower risk of heart disease compared to refined grains."
brown sugar,negative,"An added sugar, which contributes to inflammation, high triglycerides, and increased cardiovascular risk."
browning,negative,"Typically a sauce (e.g., Kitchen Bouquet) that is very high in sodium and additives."
browning sauce,negative,"Typically high in sodium, which can increase blood pressure."
brushing,neutral,
bulgur,positive,"A whole grain rich in fiber, which helps lower cholesterol and improve heart health."
bulgur wheat,positive,"A whole grain rich in fiber, which helps lower cholesterol and improve heart health."
butter,very negative,"High in saturated fat, which raises LDL (bad) cholesterol levels, a major risk factor for heart disease."
butter bean,positive,"A legume rich in soluble fiber and potassium, which help lower cholesterol and blood pressure."
butter flavoring,neutral,
butter flavored shortening,very negative,"High in saturated and/or trans fats, which significantly raise LDL (bad) cholesterol and increase heart disease risk."
buttermilk,neutral,Modern cultured buttermilk is typically low in fat; its impact is minimal.
butternut squash,positive,"High in potassium, fiber, and antioxidants, which support healthy blood pressure and overall heart health."
button mushroom,positive,"Low in calories and sodium, and provides potassium and fiber, which are beneficial for heart health."
cabbage,positive,"Rich in fiber, vitamins, and antioxidants, which can help reduce inflammation and lower cholesterol."
cabbage leaf,positive,"Rich in fiber, vitamins, and antioxidants, which can help reduce inflammation and lower cholesterol."
cabernet sauvignon wine,neutral,"The effects of alcohol are complex; while moderate red wine intake is linked to some benefits, excessive alcohol is harmful."
cacao powder,positive,"Unsweetened cacao is rich in flavonoids, which can help lower blood pressure and improve blood flow."
cachaca,negative,"Alcohol can raise blood pressure and triglyceride levels, and excessive intake is a risk factor for heart disease."
cacho de cabra pepper,positive,"Contains capsaicin, which may have benefits for circulation and cholesterol levels."
cake flour,negative,"A refined carbohydrate, which can contribute to elevated triglycerides and other risk factors when consumed in excess."
calabresa,very negative,"A processed meat high in sodium and saturated fat, both of which are major risk factors for high blood pressure and heart disease."
calamari ring,neutral,"A source of lean protein, but its health impact depends heavily on preparation (e.g., fried vs. grilled)."
canadian bacon,negative,"A processed meat that is high in sodium, which can contribute to high blood pressure."
candied cherry,negative,"High in added sugar, which contributes to risk factors like high triglycerides, inflammation, and obesity."
candied citron,negative,"High in added sugar, which contributes to risk factors like high triglycerides, inflammation, and obesity."
candied lemon peel,negative,"High in added sugar, which contributes to risk factors like high triglycerides, inflammation, and obesity."
candied mixed fruit peel,negative,"High in added sugar, which contributes to risk factors like high triglycerides, inflammation, and obesity."
candied orange peel,negative,"High in added sugar, which contributes to risk factors like high triglycerides, inflammation, and obesity."
candlenut,neutral,
candy sprinkle,negative,"Composed almost entirely of sugar, which contributes to various cardiovascular risk factors."
cane vinegar,neutral,
cannellini bean,positive,"A legume rich in soluble fiber, potassium, and magnesium, which help lower cholesterol and blood pressure."
canola oil,positive,"High in monounsaturated fats and a source of omega-3s, which can help lower LDL (bad) cholesterol."
caper,negative,"Typically preserved in brine, making them very high in sodium, which can raise blood pressure."
caraway seed,positive,A source of antioxidants and fiber; can be used to flavor food in place of salt.
carbonated water,neutral,
cardamom,positive,Contains antioxidants and may have properties that help lower blood pressure.
cardamom flavored extract,neutral,
cardamom pod,positive,Contains antioxidants and may have properties that help lower blood pressure.
cardamom seed,positive,Contains antioxidants and may have properties that help lower blood pressure.
carrot,positive,"Excellent source of potassium, fiber, and antioxidants, which support healthy blood pressure and heart function."
carrot matchstick,positive,"Excellent source of potassium, fiber, and antioxidants, which support healthy blood pressure and heart function."
cashew,positive,"Source of heart-healthy monounsaturated fats, which can help improve cholesterol levels. Best consumed unsalted."
cashew half,positive,"Source of heart-healthy monounsaturated fats, which can help improve cholesterol levels. Best consumed unsalted."
cassava flour,negative,"A refined starch that can negatively impact blood sugar and triglyceride levels, which are risk factors for heart disease."
catfish fillet,positive,"A source of lean protein and some omega-3 fatty acids, which are beneficial for heart health."
cauliflower,positive,"Rich in fiber, vitamins, and antioxidants, which help reduce inflammation and support overall heart health."
cayenne,positive,"Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol."
cayenne pepper,positive,"Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol."
celery,positive,Contains potassium and compounds that may help lower blood pressure; it is also low in calories.
celery rib,positive,Contains potassium and compounds that may help lower blood pressure; it is also low in calories.
celery salt,very negative,"Primarily composed of salt (sodium), which significantly contributes to high blood pressure, a major risk factor for cardiovascular disease."
celery seed,positive,Contains compounds like phthalides that may help relax artery walls and lower blood pressure.
celery stalk,positive,"Good source of fiber and potassium, which help manage blood pressure."
cellophane noodle,neutral,
chai tea bag,positive,"Black tea contains flavonoids, which are antioxidants beneficial for heart health. Spices like cinnamon can also have positive effects."
chamoy,negative,"Typically very high in sodium and sugar, both of which contribute to high blood pressure and other cardiovascular risks."
champagne,neutral,"Excessive alcohol is negative, but moderate consumption has unclear/mixed effects. In small amounts, it is considered neutral."
champagne vinegar,neutral,
chana dal,positive,"A type of legume rich in soluble fiber and plant-based protein, which helps lower LDL cholesterol and manage blood pressure."
charcoal,neutral,"Used as a food additive (e.g., for color), it is inert and not absorbed by the body, having no nutritional impact."
chayote squash,positive,"A low-calorie vegetable high in fiber, potassium, and antioxidants, which supports overall heart health."
cheddar cheese,negative,"High in saturated fat and sodium, which can contribute to elevated LDL cholesterol and high blood pressure."
cheese curd,negative,"High in saturated fat and sodium, similar to other cheeses."
cheese ravioli,negative,Combines refined flour pasta with a cheese filling high in saturated fat and sodium.
cheese sauce,very negative,"Typically extremely high in saturated fat, sodium, and calories, significantly increasing cardiovascular risk."
cheesecloth,neutral,"A kitchen tool, not a food ingredient that is consumed."
cherry,positive,"Rich in potassium and polyphenol antioxidants like anthocyanins, which help reduce inflammation and blood pressure."
cherry tomato,positive,"Excellent source of lycopene, an antioxidant linked to lower risk of heart disease, as well as potassium and vitamin C."
chestnut,positive,Lower in fat and higher in fiber than other nuts; a good source of heart-healthy minerals like potassium.
chicken,neutral,"This term is too general. The effect depends on the cut (e.g., lean breast vs. fatty wing) and preparation method."
chicken base,very negative,"A concentrated flavor product that is extremely high in sodium, a major contributor to high blood pressure."
chicken bone,neutral,"Not consumed directly. Used to make broth, whose health impact depends on added salt."
chicken bouillon,very negative,"Extremely high in sodium, which significantly raises blood pressure."
chicken bouillon granule,very negative,"Extremely high in sodium, which significantly raises blood pressure."
chicken breast,positive,"An excellent source of lean protein, low in saturated fat, which is a cornerstone of a heart-healthy diet."
chicken breast half,positive,"An excellent source of lean protein, low in saturated fat."
chicken breast meat,positive,"An excellent source of lean protein, low in saturated fat."
chicken breast tenderloin,positive,"A very lean cut of chicken, providing protein with minimal saturated fat."
chicken broth,negative,Commercially prepared versions are typically very high in sodium. Low-sodium or homemade versions can be positive.
chicken chunk,negative,"Often refers to processed, breaded, and fried chicken, which is high in sodium, unhealthy fats, and refined carbohydrates."
chicken drumette,negative,"A part of the wing with a high skin-to-meat ratio, making it high in saturated fat."
chicken drumstick,negative,"Dark meat with skin, which is higher in saturated fat and cholesterol compared to breast meat."
chicken gizzard,negative,Organ meat that is high in dietary cholesterol.
chicken leg,negative,"Dark meat with skin, which is higher in saturated fat and cholesterol compared to breast meat."
chicken leg quarter,negative,"Dark meat with skin, which is higher in saturated fat and cholesterol compared to breast meat."
chicken liver,negative,"Extremely high in dietary cholesterol, which can be a concern for individuals at risk for cardiovascular disease."
chicken meat,neutral,This term is too general. The effect depends on the cut and preparation method.
chicken part,neutral,This term is too general. The effect depends on the specific part and preparation method.
chicken piece,neutral,This term is too general. The effect depends on the specific piece and preparation method.
chicken soup base,very negative,A concentrated flavor product that is extremely high in sodium.
chicken stock,negative,Commercially prepared versions are typically very high in sodium. Low-sodium or homemade versions can be positive.
chicken tender,positive,"Refers to the tenderloin, a very lean cut of chicken breast. (Note: breaded/fried 'chicken tenders' would be negative)."
chicken thigh,negative,"Dark meat, which is higher in saturated fat than chicken breast, especially when consumed with the skin."
chicken wing,negative,"High skin-to-meat ratio makes it very high in saturated fat, and it is often fried and served with high-sodium sauces."
chicken wing drumette,negative,"Part of the chicken wing, making it high in saturated fat from the skin."
chickpea,positive,"Excellent source of soluble fiber, which helps lower LDL cholesterol, and potassium, which helps manage blood pressure."
chickpea flour,positive,"Made from ground chickpeas, it retains the high fiber and protein content beneficial for heart health."
chile flake,positive,"Contains capsaicin, which has anti-inflammatory properties and may improve circulation and blood vessel function."
chile garlic sauce,negative,"Typically very high in sodium, which contributes to high blood pressure."
chile padi,positive,"Also known as bird's eye chili, it contains capsaicin, which has anti-inflammatory and circulatory benefits."
chile paste,negative,Commercially prepared versions are generally very high in sodium.
chile pepper,positive,"Contains capsaicin, which has anti-inflammatory properties and may help improve blood pressure and cholesterol levels."
chile powder,positive,"Contains capsaicin from ground chiles, which may improve cardiovascular markers like blood pressure and cholesterol."
chile sauce,negative,"Often high in sodium and added sugars, which can contribute to high blood pressure and other cardiovascular risks."
chilean sea bass fillet,positive,"Rich in omega-3 fatty acids, which are known to reduce inflammation, lower blood pressure, and decrease triglycerides."
chili bean paste,negative,"Typically very high in sodium, which is a major contributor to high blood pressure."
chili garlic sauce,negative,High sodium and often added sugar content can negatively impact blood pressure and overall cardiovascular health.
chili lime seasoning,negative,"Usually contains a very high amount of sodium, which can increase blood pressure."
chili oil,neutral,
chili pepper,positive,"Contains capsaicin, which has anti-inflammatory properties and may help improve blood pressure and cholesterol levels."
chili powder,positive,"Contains capsaicin from ground chiles, which may improve cardiovascular markers like blood pressure and cholesterol."
chili sauce,negative,"Often high in sodium and added sugars, which can contribute to high blood pressure and other cardiovascular risks."
chili seasoning mix,negative,"Typically very high in sodium, which can contribute to high blood pressure."
chinese barbequed pork,very negative,"A processed red meat, high in sodium, saturated fat, and often sugar, all of which are strongly linked to increased cardiovascular disease risk."
chinese broccoli,positive,"A leafy green vegetable rich in fiber, vitamins, and antioxidants, which support heart health by lowering cholesterol and blood pressure."
chinese cabbage,positive,"A low-calorie vegetable rich in fiber, potassium, and antioxidants that support cardiovascular health."
chinese chive,positive,"Contains beneficial compounds like allicin, which may help lower cholesterol and blood pressure."
chinese cooking wine,negative,High in sodium and contains alcohol; excessive intake can negatively impact blood pressure.
chinese egg noodle,negative,"Made from refined flour, which can negatively impact blood sugar and triglyceride levels when consumed in excess."
chinese egg noodle nest,negative,"Made from refined flour, which can negatively impact blood sugar and triglyceride levels when consumed in excess."
chinese eggplant,positive,"A good source of fiber and antioxidants (like nasunin), which are beneficial for heart health."
chinese five spice powder,positive,"A blend of spices (e.g., cinnamon, cloves) with antioxidant and anti-inflammatory properties beneficial for cardiovascular health."
chinese hot prepared mustard,negative,"Prepared mustards are typically very high in sodium, which can increase blood pressure."
chinese moo shu pancake,negative,"Made from refined white flour, a simple carbohydrate that can negatively impact metabolic health."
chinese rice vinegar,neutral,
chinese rice wine,negative,Contains alcohol; excessive intake can negatively impact blood pressure and contribute to high triglycerides.
chinese roasted pork,very negative,"A red meat dish, typically high in saturated fat and sodium, which are major risk factors for cardiovascular disease."
chipotle chile powder,positive,"Contains capsaicin from ground chiles, which may improve cardiovascular markers like blood pressure and cholesterol."
chipotle chili powder,positive,"Contains capsaicin from ground chiles, which may improve cardiovascular markers like blood pressure and cholesterol."
chipotle mayonnaise,negative,"High in calories, unhealthy fats (typically from soybean oil), and sodium, which are detrimental to cardiovascular health."
chipotle pepper,positive,"Contains capsaicin, which has anti-inflammatory properties and may help improve blood pressure and cholesterol levels."
chive,positive,"Part of the allium family, contains compounds that may help lower cholesterol and blood pressure."
