title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Simple Macaroni and Cheese,https://www.allrecipes.com/recipe/238691/simple-macaroni-and-cheese/,4,10m,15m,25m,1 (8 ounce) box elbow macaroni | 0.25 cup butter | 0.25 cup all-purpose flour | 0.5 teaspoon salt | ground black pepper to taste | 2 cups milk | 2 cups shredded Cheddar cheese,"2. Gather the ingredients. | 3. Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally until cooked through but firm to the bite, 8 minutes. | 4. At the same time, melt butter in a saucepan over medium heat. | 5. Add flour, salt, and pepper and stir until smooth, about 5 minutes. | 6. Pour in milk slowly, while stirring continuously. Continue to cook and stir until mixture is smooth and bubbling, about 5 minutes, making sure the milk doesn&#39;t burn. | 7. Add Cheddar cheese and stir until melted, 2 to 4 minutes. | 8. Drain macaroni and fold into cheese sauce until coated. | 9. Serve hot and enjoy!",630kcal,34g,21g,100mg,777mg,55g,2g,8g,27g,not provided,not provided,not provided,not provided
Ground Beef Stroganoff Noodles,https://www.allrecipes.com/recipe/8526807/ground-beef-stroganoff-noodles/,4,10m,30m,40m,"1 tablespoon unsalted butter | 1 tablespoon vegetable oil | 1 cup thinly sliced mushrooms | 1 teaspoon salt, plus more to taste | 0.5 cup diced onion | 1 pound ground beef | freshly ground black pepper | 1 pinch cayenne pepper | 2 cloves minced garlic | 1.33 tablespoons flour | 2 tablespoons vodka | 2.5 cups beef broth, or as needed | 1 cup water | 2.5 cups egg noodles | 0.5 cup sour cream, plus more for serving | 2 tablespoons fresh sliced chives or green onions","2. Gather all ingredients. | 3. Melt butter and oil in a skillet over medium-high heat. Add mushrooms, season with salt, and saute, stirring occasionally, until they turn golden brown, 5 to 10 minutes. | 4. Add onion and ground beef. Cook, stirring, until meat is browned and crumbly, and onions turn soft and translucent, about 5 minutes. Season with black pepper and cayenne. | 5. Stir in minced garlic and flour, and cook for 1 minute. | 6. Pour in vodka and allow to evaporate, about 30 seconds. | 7. Stir in beef broth and water and bring to a simmer. Cook, stirring occasionally, for 10 minutes. | 8. Reduce heat to medium, and mix in noodles. Cover with a tight-fitting lid and simmer for 5 minutes. Uncover and stir thoroughly. Cover again and cook until noodles are just tender, about 3 minutes. (See Cook&#39;s Note.) | 9. Once noodles are cooked, reduce heat to low, and stir in sour cream. | 10. Serve immediately with additional sour cream and green onions or chives if so desired.",598kcal,44g,19g,137mg,1082mg,24g,2g,not provided,26g,not provided,not provided,not provided,566mg
The Best Caramel Apples,https://www.allrecipes.com/recipe/228210/the-best-caramel-apples/,8,15m,30m,2h 15m,8 large tart apples | 8 wooden chopsticks for handles | 2 cups packed brown sugar | 1 (14 ounce) can sweetened condensed milk | 1 cup light corn syrup | 1 cup butter | 2 teaspoons vanilla extract,"2. Gather all ingredients. | 3. Remove any wax from apples to help caramel stick better: Bring a large saucepan of water to a boil. Dip apples in boiling water for a few seconds, using a slotted spoon, then dry with paper towels to remove any wax from the peels. Set apples aside to cool completely, about 30 minutes. | 4. Insert sticks into the bottom of each cooled apple through the core for a handle. | 5. Line a baking sheet with parchment paper. Stir brown sugar, sweetened condensed milk, corn syrup, and butter together in a saucepan over medium-high heat. | 6. Bring to a boil, stirring constantly, then reduce heat to medium. Cook until a candy thermometer reads 248 degrees F (120 degrees C), stirring constantly to prevent burning, about 25 to 30 minutes. A teaspoon of caramel dropped in a glass of cold water, should form a firm ball. | 7. Remove caramel from heat and stir in vanilla extract. | 8. Working quickly, dip each apple into the hot caramel to completely coat the apple and about 1/2 inch of the wooden handle. | 9. Sprinkle apples with any desired toppings while still hot. | 10. Let caramel apples cool on the prepared baking sheet, about 1 hour. Use caution, caramel is very hot.",799kcal,28g,17g,78mg,269mg,142g,5g,113g,5g,11mg,210mg,1mg,491mg
One-Pot Spaghetti,https://www.allrecipes.com/recipe/281248/one-pot-spaghetti/,6,15m,1h 0m,1h 15m,"1 pound lean ground beef | 1 large onion, chopped | 2 cloves garlic, minced | 1 (14 ounce) can tomato sauce | 1 (14 ounce) can petite diced tomatoes | 2 cups water | 1 tablespoon chili powder | 1 teaspoon dried oregano | 1 teaspoon ground black pepper | 7 ounces whole wheat spaghetti | 0.25 cup grated Parmesan cheese, or to taste","2. Heat a Dutch oven over medium-high heat. Cook and stir ground beef, onion, and garlic until beef is browned and crumbly and onion is translucent, 5 to 7 minutes. Drain and discard excess grease. | 3. Stir in tomato sauce, diced tomatoes, water, chili powder, oregano, and black pepper. Bring to a boil. Cover, reduce heat, and let simmer, stirring often, for about 30 minutes. | 4. Break spaghetti into thirds and add to the pot; cover and simmer, stirring often, until pasta is tender, about 20 minutes. Serve topped with Parmesan cheese.",323kcal,11g,4g,56mg,568mg,35g,7g,7g,23g,13mg,106mg,5mg,634mg
Tomato Pie,https://www.allrecipes.com/recipe/15807/tomato-pie-i/,6,20m,1h 0m,1h 20m,"1 (9 inch) deep dish pie crust | 4 large tomatoes, peeled and sliced | 0.5 pound bacon - cooked, drained, and chopped | 3 green onions, thinly sliced | 0.5 cup chopped fresh basil | 1 teaspoon dried oregano | 0.5 teaspoon garlic powder | 0.5 teaspoon crushed red pepper | 2 cups shredded Cheddar cheese | 0.25 cup mayonnaise","2. Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C). | 3. In alternating layers, fill pie crust with tomatoes, bacon, green onions, basil, oregano, garlic powder, and red pepper. | 4. Stir together cheese and mayonnaise in a small bowl. | 5. Spread over the top of pie. Cover loosely with aluminum foil. | 6. Bake in the preheated oven for 30 minutes. Remove foil and continue baking for 30 more minutes. | 7. Serve pie warm or cold.",468kcal,35g,14g,57mg,778mg,22g,2g,5g,17g,not provided,not provided,not provided,not provided
Easy Meatloaf,https://www.allrecipes.com/recipe/16354/easy-meatloaf/,8,15m,1h 0m,1h 15m,"1.5 pounds ground beef | 1 egg | 1 onion, chopped | 1 cup milk | 1 cup dried bread crumbs | salt and pepper to taste | 0.333 cup ketchup | 2 tablespoons brown sugar | 2 tablespoons prepared mustard","2. Gather the ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9x5-inch loaf pan. | 3. Combine ground beef, onion, milk, bread crumbs, and egg in a large bowl; season with salt and pepper. Transfer into prepared loaf pan. | 4. Mix ketchup, brown sugar, and mustard together in a small bowl until well combined; pour over meatloaf and spread it evenly over the top. | 5. Bake in the preheated oven until no longer pink in the center, about 1 hour. | 6. Serve hot and enjoy!",372kcal,25g,10g,98mg,335mg,19g,1g,9g,18g,not provided,not provided,not provided,not provided
Midwest Salisbury Steak,https://www.allrecipes.com/recipe/239534/midwest-salisbury-steak/,5,10m,50m,1h 0m,"1 pound ground sirloin | 0.5 cup panko bread crumbs | 1 egg, beaten | 2 tablespoons milk | 0.5 (1 ounce) package dry onion soup mix | 1 teaspoon Worcestershire sauce | 0.25 teaspoon ground black pepper | 3 tablespoons butter | 2 cups fresh mushrooms, sliced | 1 sweet onion, sliced | 3 tablespoons all-purpose flour | 0.5 (1 ounce) package dry onion soup mix | 1.5 cups beef stock | 1 cup water | salt and ground black pepper to taste","2. Gather the ingredients. | 3. Make the patties: Mix ground sirloin, panko bread crumbs, egg, milk, 1/2 packet onion soup mix, Worcestershire sauce, and black pepper together in a large bowl; shape into 5 patties. | 4. Heat a skillet over medium heat. Cook patties in the hot skillet until browned, 3 to 5 minutes per side. | 5. Make the gravy: Melt butter in a separate skillet over medium-high heat. Sauté mushrooms and onion in melted butter until tender, about 5 minutes. Stir flour and remaining 1/2 packet onion soup mix into mushroom mixture until combined. | 6. Gradually add beef stock and water, stirring continually, until simmering. Reduce heat to medium; cook, stirring frequently, until gravy has thickened, about 4 to 5 minutes. Season with salt and pepper. | 7. Place browned patties into gravy; simmer until very tender, about 30 minutes. An instant-read thermometer inserted into the center should read 160 degrees F (70 degrees C).",421kcal,20g,9g,137mg,848mg,27g,3g,7g,33g,7mg,88mg,5mg,960mg
Easy Apple Crisp with Oat Topping,https://www.allrecipes.com/recipe/229088/apple-crisp-with-oat-topping/,4,20m,40m,1h 0m,"6 apples - peeled, cored, and sliced | 2 tablespoons white sugar | 1.5 teaspoons ground cinnamon, divided | 1 cup brown sugar | 0.75 cup old-fashioned oats | 0.75 cup all-purpose flour | 0.5 cup cold butter","2. Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). | 3. Toss apples with white sugar and ½ teaspoon cinnamon in a medium bowl to coat; pour into a 9-inch square baking dish. | 4. Mix brown sugar, oats, flour, and 1 teaspoon cinnamon in a separate bowl. | 5. Cut in cold butter with two knives or a pastry blender until the mixture resembles coarse crumbs. | 6. Spread over apples and pat down gently until even. | 7. Bake in the preheated oven until golden brown and sides are bubbling, about 40 minutes. | 8. Serve and enjoy!",618kcal,25g,15g,61mg,177mg,99g,8g,63g,5g,not provided,not provided,not provided,not provided
Stewed Tomato Pork Chops,https://www.allrecipes.com/recipe/270048/stewed-tomato-pork-chops/,4,10m,25m,35m,"4 large pork chops | salt and ground black pepper to taste | 1 large onions, halved and sliced | 8 large garlic, minced | 2 (14.5 ounce) cans whole tomatoes | 3 tablespoons capers, with liquid | 1 tablespoon dried rosemary | 2 teaspoons red pepper flakes | 0.5 tablespoon dried oregano | 0.5 tablespoon dried basil","2. Heat a large, heavy skillet over medium-high heat. Season pork chops with salt and pepper on both sides and add to the hot skillet. Cook pork chops until browned, about 4 minutes per side. Transfer to a plate and cover with aluminum foil. | 3. Add onions and garlic to the hot skillet. Cook and stir until softened but still crisp, about 5 minutes. Add tomatoes, capers and liquid, rosemary, red pepper flakes, oregano, and basil. Bring sauce to a simmer and cook until flavors meld, about 5 minutes. | 4. Pour any accumulated pork juices from the plate into the skillet and stir. Add cooked pork chops and cover with sauce. Simmer until warmed through, about 5 minutes.",332kcal,10g,3g,107mg,591mg,17g,4g,7g,44g,27mg,129mg,4mg,1082mg
Chicken Stir Fry,https://www.allrecipes.com/recipe/223382/chicken-stir-fry/,6,20m,20m,40m,"4 cups water | 2 cups white rice | 0.66666668653488 cup soy sauce | 0.25 cup brown sugar | 1 tablespoon cornstarch | 1 tablespoon minced fresh ginger | 1 tablespoon minced garlic | 0.25 teaspoon red pepper flakes | 3 skinless, boneless chicken breast halves, thinly sliced | 2 tablespoons sesame oil, divided | 1 head broccoli, broken into florets | 1 onion, cut into large chunks | 1 cup sliced carrots | 1 (8 ounce) can sliced water chestnuts, drained | 1 green bell pepper, cut into matchsticks","2. Gather all ingredients. | 3. Bring water and rice to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender, and liquid has been absorbed, 20 to 25 minutes. | 4. Meanwhile, combine soy sauce, brown sugar, and cornstarch in a medium glass or ceramic bowl; stir until smooth. | 5. Stir in ginger, garlic, and red pepper flakes; add chicken and stir to coat. Cover and marinate in the refrigerator for at least 15 minutes. | 6. Heat 1 tablespoon sesame oil in a wok or large skillet over medium-high heat. Add broccoli, onion, carrots, water chestnuts, and bell pepper; cook and stir until just tender, about 5 minutes. | 7. Transfer vegetables into a dish; set aside. | 8. Heat remaining 1 tablespoon sesame oil in the same wok or skillet over medium-high heat. Add chicken, reserving marinade, and cook until just browned, about 2 minutes per side. | 9. Stir in vegetables and reserved marinade. Bring to a boil; cook and stir until chicken is no longer pink in the center and vegetables are tender, 5 to 7 minutes. | 10. Serve over rice.",344kcal,7g,1g,51mg,1125mg,45g,5g,13g,25g,not provided,not provided,not provided,not provided
Puerto Rican Breakfast Custard,https://www.allrecipes.com/recipe/155379/puerto-rican-breakfast-custard/,2,5m,25m,30m,3 tablespoons white sugar | 2 tablespoons cornstarch | 0.125 teaspoon salt | 0.125 teaspoon ground cinnamon | 2 cups whole milk,"2. Whisk sugar, cornstarch, salt, and cinnamon together in a large saucepan; stir in milk until evenly blended. Heat over medium-high heat; cook and whisk until reaches a thick consistency, 25 to 30 minutes, making sure to continually whisk while custard cooks to avoid burning or clumping. The custard will thicken as it cools. Divide between bowls.",250kcal,8g,5g,24mg,244mg,37g,0g,30g,8g,not provided,278mg,0mg,350mg
Monkey Bread from Scratch,https://www.allrecipes.com/recipe/272308/monkey-bread-from-scratch/,10,25m,35m,2h 30m,"1 teaspoon vegetable oil, or as needed | 0.25 cup warm water | 2.5 teaspoons active dry yeast | 1 teaspoon white sugar | 3.5 cups all-purpose flour | 0.75 cup milk, warmed | 1 large egg | 3 tablespoons white sugar | 2 tablespoons melted butter | 1 teaspoon salt | 0.5 teaspoon vanilla extract | 1.5 cups brown sugar | 1.5 teaspoons ground cinnamon | 0.5 cup butter, melted","2. Lightly grease a fluted tube pan (such as Bundt) with vegetable oil; set aside. | 3. Make dough: Combine warm water, yeast, and 1 teaspoon sugar in a large bowl. Let stand until bubbly and foamy, about 5 minutes. | 4. Stir in 1 cup flour, warm milk, egg, 3 tablespoons sugar, butter, salt, and vanilla extract until combined. Add remaining 2 1/2 cups flour. Mix and knead until dough comes together in a ball. Cover with plastic wrap and let rise in a warm place for 30 minutes. | 5. Turn dough out onto a lightly floured surface and punch down gently to deflate. Divide dough into small or medium balls. | 6. Make coating: Mix together brown sugar and cinnamon in a small bowl. Dip each dough ball in melted butter, remove with a fork, then roll in cinnamon sugar mixture until well coated. | 7. Arrange coated dough balls in the prepared pan. Cover with plastic wrap or a damp cloth and let rise until almost doubled in size, about 45 minutes. | 8. Preheat the oven to 350 degrees F (175 degrees C). | 9. Bake in the preheated oven until golden brown, about 35 minutes. Invert onto a large plate; cool for 10 minutes before serving.",427kcal,13g,8g,48mg,339mg,72g,2g,37g,6g,0mg,66mg,3mg,150mg
