ingredient,effect,reason
coconut flour,positive,"High in fiber and lower in carbohydrates than traditional flours, leading to a smaller impact on blood sugar."
coconut milk,negative,"High in saturated fat, which should be limited to manage cardiovascular risk."
coconut milk powder,negative,"A concentrated source of saturated fat, which should be limited to protect heart health."
coconut oil,negative,"Very high in saturated fat, which is linked to increased cardiovascular risk."
coconut preserve,very negative,"Extremely high in added sugar, causing a sharp and significant rise in blood sugar levels."
coconut sugar,very negative,"It is a form of sugar that significantly raises blood glucose levels, similar to regular table sugar."
coconut water,negative,Contains natural sugars and carbohydrates that can raise blood sugar levels.
cod,positive,"An excellent source of lean protein and omega-3 fatty acids, which support heart health and do not raise blood sugar."
cod fish,positive,"An excellent source of lean protein and omega-3 fatty acids, which support heart health and do not raise blood sugar."
cod fillet,positive,"An excellent source of lean protein and omega-3 fatty acids, which support heart health and do not raise blood sugar."
coffee,positive,Unsweetened coffee contains antioxidants and may improve insulin sensitivity over the long term.
coffee bean,positive,Source of coffee's beneficial compounds; rich in antioxidants.
coffee flavored liqueur,very negative,"High in both sugar and alcohol, which can cause significant and unpredictable blood sugar spikes."
