ingredient,effect,reason
asiago cheese,very negative,"Very high in both sodium and phosphorus, which are strictly limited in a kidney diet."
asian fish sauce,very negative,Extremely high in sodium.
asian five spice powder,neutral,
asian pear,positive,"A fruit with a lower potassium content compared to many others, making it a good choice for a kidney diet."
asparagus,negative,Contains a moderate to high amount of potassium.
asturian fabada bean,very negative,Beans are very high in both potassium and phosphorus.
avocado,very negative,Extremely high in potassium.
baby bella mushroom,negative,Mushrooms are a significant source of potassium.
baby bok choy,positive,"A low-potassium vegetable, making it an excellent choice for a kidney-friendly diet."
baby carrot,positive,Low in potassium and a good source of fiber. A healthy vegetable choice in moderation.
baby corn ear,positive,"Low in potassium and phosphorus, making it a safe vegetable choice."
baby pea,negative,Higher in potassium and phosphorus compared to other kidney-friendly vegetables.
baby potato,very negative,Potatoes are very high in potassium. Leaching can help but they are generally avoided.
baby red potato,very negative,Potatoes are very high in potassium. Leaching can help but they are generally avoided.
baby spinach leaf,very negative,"Very high in potassium and oxalates, which can be problematic for kidney health."
bacon,very negative,A processed meat that is very high in sodium and often contains phosphorus additives.
bacon dripping,very negative,High in sodium and unhealthy fats.
bacon strip,very negative,A processed meat that is very high in sodium and often contains phosphorus additives.
bakers ammonia,neutral,
baking potato,very negative,Potatoes are very high in potassium.
baking powder,very negative,"Contains phosphate additives, which are a significant and easily absorbed source of phosphorus."
baking soda,very negative,"Is sodium bicarbonate, making it extremely high in sodium."
balsamic vinegar,neutral,
bamboo shoot,positive,"Low in potassium, making it a good vegetable choice."
bamboo skewer,neutral,
banana,very negative,Famously high in potassium and one of the first fruits to be limited for kidney patients.
banana extract,neutral,
banana pepper,positive,Low in potassium and a good way to add flavor without salt.
barbecue sauce,very negative,"Typically very high in sodium, sugar, and often contains potassium and phosphorus additives."
barberry,negative,Dried fruits are concentrated sources of potassium.
basil,positive,"A fresh herb that adds flavor without sodium, potassium, or phosphorus."
basil leaf,positive,"A fresh herb that adds flavor without sodium, potassium, or phosphorus."
basmati rice,positive,"White rice is low in phosphorus and potassium, making it a good staple grain."
bavarian style sauerkraut,negative,Can be very high in sodium due to the brining and fermentation process.
bay leaf,neutral,
bay powder,neutral,
bean,very negative,All types of beans are very high in both potassium and phosphorus.
bean sprout,positive,"Low in potassium and phosphorus, making it a good addition to meals."
bean thread,positive,"Also known as glass noodles, they are low in protein, phosphorus, and potassium."
beef,negative,"A source of high biological value protein, but also high in phosphorus. Must be consumed in strictly controlled portions."
beef base,very negative,A concentrated product that is extremely high in sodium.
beef birria,negative,"A stew typically high in sodium, phosphorus, and protein from the meat and broth, which need to be limited in a renal diet."
beef bouillon,very negative,"Extremely high in sodium, which must be severely restricted for kidney disease to manage blood pressure and fluid retention."
beef bouillon cube,very negative,"Extremely high in sodium, which must be severely restricted for kidney disease to manage blood pressure and fluid retention."
beef bouillon granule,very negative,"Extremely high in sodium, which must be severely restricted for kidney disease to manage blood pressure and fluid retention."
beef broth,very negative,Commercially prepared broths are typically very high in sodium. They also contain potassium and phosphorus.
beef chuck,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef chuck roast,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef consomme,very negative,"A concentrated broth, making it very high in sodium and a source of potassium and phosphorus."
beef cube steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef eye of round roast,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef fat,neutral,
beef flank steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef gravy,very negative,Typically very high in sodium and often contains phosphorus additives.
beef oxtail,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef pot roast,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef ravioli,negative,"A processed food, typically high in sodium, phosphorus, and protein."
beef rib eye steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef roast,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef round,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef round steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef rump roast,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef short rib,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef shoulder,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef sirloin,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef sirloin steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef skirt steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef soup bone,negative,"Leaches high amounts of phosphorus and potassium into broths and soups, which should be avoided."
beef steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef stew meat,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef stock,very negative,Commercially prepared stocks are typically very high in sodium. They also contain potassium and phosphorus.
beef tenderloin,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef tenderloin steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef tongue,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef top round steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef top sirloin,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef top sirloin steak,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beef tri tip,negative,"Red meat is a source of high biological value protein, but it is also high in phosphorus and potassium, which are restricted in a renal diet."
beer,negative,Alcohol can raise blood pressure and is dehydrating. Beer can also be a source of potassium and phosphorus.
beet,negative,"Very high in potassium, which needs to be limited in most renal diets. Also contains oxalates."
belacan,very negative,A fermented shrimp paste that is extremely high in sodium.
belacan shrimp paste,very negative,A fermented shrimp paste that is extremely high in sodium.
bell pepper,positive,"Low in potassium, phosphorus, and sodium, and a good source of vitamins A and C. It is a recommended vegetable for a kidney-friendly diet."
birds eye chile,neutral,
bitter melon,neutral,
bitter orange marinade,very negative,Marinades are typically extremely high in sodium.
bitter,neutral,
bittersweet chocolate,negative,Chocolate is very high in both potassium and phosphorus and should be limited or avoided.
black bean,negative,"High in both potassium and phosphorus, which are typically restricted in a renal diet."
black bean paste,very negative,"Extremely high in sodium, in addition to the potassium and phosphorus from the beans."
black bean sauce,very negative,"Extremely high in sodium, in addition to the potassium and phosphorus from the beans."
black cardamom,neutral,
black cardamom pod,neutral,
black cardamom seed,neutral,
black cumin,neutral,
black cumin seed,neutral,
black garbanzo bean,negative,"High in potassium and phosphorus, which need to be restricted in a kidney diet."
black italian olive,negative,Typically cured in brine and very high in sodium.
black mustard seed,neutral,
black olive,negative,Typically cured in brine and very high in sodium.
black pepper,neutral,
black peppercorn,neutral,
black sesame seed,negative,High in phosphorus and potassium.
black soy sauce,very negative,"Extremely high in sodium, which must be severely limited for kidney health."
black tea,negative,"High in oxalates, which can contribute to kidney stones, and is a source of potassium."
black tea leaf,negative,"High in oxalates, which can contribute to kidney stones, and is a source of potassium."
black treacle,very negative,A form of molasses that is extremely high in potassium.
blackberry,positive,Low in potassium and a good source of antioxidants beneficial for overall health.
blood sausage,very negative,"Highly processed meat, very high in sodium, phosphorus, and protein."
blue food coloring,neutral,
blueberry,positive,"Low in sodium, potassium, and phosphorus; rich in antioxidants."
bok choy,negative,"Contains a moderate to high amount of potassium, which should be limited."
bologna slice,very negative,"Highly processed meat, very high in sodium and phosphorus additives."
bone in beef shank,negative,"High in protein and phosphorus, especially when cooked with the bone."
boneless chuck roast,negative,High in protein and phosphorus; portion sizes must be limited.
boneless country style pork rib,negative,High in protein and phosphorus; portion sizes must be limited.
bonito flake,negative,Dried fish product that is high in sodium and protein.
bonito shaving,negative,Dried fish product that is high in sodium and protein.
boston lettuce,neutral,
bourbon whiskey,negative,Alcohol can dehydrate the body and put stress on the kidneys.
braising liquid,negative,Often very high in sodium and can contain leached phosphorus and potassium from cooked ingredients.
brandy,negative,Alcohol can dehydrate the body and put stress on the kidneys.
brandy based orange liqueur,negative,Alcohol can dehydrate the body and put stress on the kidneys.
branzino,neutral,A source of protein and phosphorus that can be included in a kidney diet with proper portion control.
bratwurst,very negative,"Highly processed meat, very high in sodium, phosphorus, and protein."
bratwurst sausage,very negative,"Highly processed meat, very high in sodium, phosphorus, and protein."
bread,neutral,"Impact varies greatly; white bread is generally better than whole wheat (lower phosphorus), but sodium content must be checked."
bread crumb,negative,Often very high in sodium; check labels for low-sodium versions.
bread dough,neutral,
bread flour,neutral,Refined white flour is low in phosphorus and potassium.
bread machine yeast,neutral,
breast chop,negative,High in protein and phosphorus; portion sizes must be limited.
broccoli,negative,"High in potassium and should be eaten in small, controlled portions."
broccoli floret,negative,"High in potassium and should be eaten in small, controlled portions."
broccoli in cheese sauce,very negative,"Combines high-potassium broccoli with high-sodium, high-phosphorus cheese sauce."
broth,very negative,Typically extremely high in sodium unless specified as 'no salt added'.
brown gravy mix,very negative,Processed mix that is very high in sodium and often contains phosphorus additives.
brown lentil,very negative,Very high in both potassium and phosphorus.
brown rice,negative,"As a whole grain, it is higher in phosphorus and potassium than white rice."
brown sugar,negative,Contains a significant amount of potassium compared to white sugar.
browning,very negative,A concentrated source of sodium used for color and flavor.
browning sauce,very negative,Extremely high in sodium and may contain phosphorus additives.
brushing,neutral,
bulgur,negative,"A whole grain, which is high in both potassium and phosphorus."
bulgur wheat,negative,"A whole grain, which is high in both potassium and phosphorus."
butter,negative,High in saturated fat. Salted butter is very high in sodium. Unsalted should be used sparingly.
butter bean,negative,Beans are high in potassium and phosphorus.
butter flavoring,negative,Can contain hidden sodium or phosphate additives.
butter flavored shortening,very negative,"Highly processed fat, often contains high levels of sodium and phosphate additives."
buttermilk,very negative,"Dairy product that is high in phosphorus, potassium, and sodium."
butternut squash,negative,A winter squash that is high in potassium.
button mushroom,negative,Mushrooms are a significant source of potassium.
cabbage,positive,"Low in potassium, phosphorus, and sodium, making it an excellent choice for a kidney-friendly diet."
cabbage leaf,positive,"Low in potassium, phosphorus, and sodium, making it an excellent choice for a kidney-friendly diet."
cabernet sauvignon wine,negative,Alcohol should be limited or avoided as it can dehydrate and raise blood pressure.
cacao powder,very negative,Extremely high in both potassium and phosphorus.
cachaca,negative,Alcohol should be limited or avoided as it can dehydrate and raise blood pressure.
cacho de cabra pepper,neutral,
cake flour,neutral,"A refined flour, which is lower in phosphorus and potassium than whole grain flours."
calabresa,very negative,"A processed sausage, extremely high in sodium and phosphate additives."
calamari ring,negative,Seafood is a source of phosphorus and can be high in sodium depending on preparation.
canadian bacon,very negative,"A processed meat, very high in sodium and often contains phosphate additives."
candied cherry,negative,"Very high in sugar, which should be limited, especially for patients with diabetes."
candied citron,negative,"Very high in sugar, which should be limited, especially for patients with diabetes."
candied lemon peel,negative,"Very high in sugar, which should be limited, especially for patients with diabetes."
candied mixed fruit peel,negative,"Very high in sugar, which should be limited, especially for patients with diabetes."
candied orange peel,negative,"Very high in sugar, which should be limited, especially for patients with diabetes."
candlenut,very negative,Nuts are typically very high in phosphorus and potassium.
candy sprinkle,negative,Primarily sugar with artificial additives; provides no nutritional benefit and high sugar intake is discouraged.
cane vinegar,positive,"A good way to add flavor to foods without adding sodium, potassium, or phosphorus."
cannellini bean,negative,Beans are high in potassium and phosphorus.
canola oil,positive,A healthy fat source that is free of sodium and low in potassium and phosphorus.
caper,very negative,"Typically packed in brine, making them extremely high in sodium."
caraway seed,neutral,"Used in small amounts as a spice, its mineral content is negligible."
carbonated water,negative,Can contain added sodium or phosphoric acid (a source of phosphorus). Check labels carefully.
cardamom,positive,A spice that can add flavor to food without adding sodium.
cardamom flavored extract,positive,A good way to add flavor to foods without adding sodium.
cardamom pod,positive,A spice that can add flavor to food without adding sodium.
cardamom seed,positive,A spice that can add flavor to food without adding sodium.
carrot,negative,Contains a significant amount of potassium and should be eaten in limited quantities.
carrot matchstick,negative,Contains a significant amount of potassium and should be eaten in limited quantities.
cashew,very negative,Nuts are very high in potassium and phosphorus.
cashew half,very negative,Nuts are very high in potassium and phosphorus.
cassava flour,neutral,Lower in potassium and phosphorus compared to many other flours.
catfish fillet,negative,"While a source of protein, fish is high in phosphorus and must be portion-controlled."
cauliflower,positive,"A low-potassium, low-phosphorus vegetable that is a great choice for a kidney-friendly diet."
cayenne,positive,A spice that can add flavor to food without adding sodium.
cayenne pepper,positive,A spice that can add flavor to food without adding sodium.
celery,negative,Higher in sodium than most vegetables and contains a moderate amount of potassium.
celery rib,negative,Higher in sodium than most vegetables and contains a moderate amount of potassium.
celery salt,very negative,Extremely high in sodium.
celery seed,neutral,
celery stalk,neutral,
cellophane noodle,neutral,
chai tea bag,neutral,
chamoy,neutral,
champagne,neutral,
champagne vinegar,neutral,
chana dal,neutral,
charcoal,neutral,
chayote squash,neutral,
cheddar cheese,neutral,
cheese curd,neutral,
cheese ravioli,neutral,
cheese sauce,neutral,
cheesecloth,neutral,
cherry,neutral,
cherry tomato,neutral,
chestnut,neutral,
chicken,neutral,
chicken base,neutral,
chicken bone,neutral,
chicken bouillon,neutral,
chicken bouillon granule,neutral,
chicken breast,neutral,
chicken breast half,neutral,
chicken breast meat,neutral,
chicken breast tenderloin,neutral,
chicken broth,neutral,
chicken chunk,neutral,
chicken drumette,neutral,
chicken drumstick,neutral,
chicken gizzard,neutral,
chicken leg,neutral,
chicken leg quarter,neutral,
chicken liver,neutral,
chicken meat,neutral,
chicken part,neutral,
chicken piece,neutral,
chicken soup base,neutral,
chicken stock,neutral,
chicken tender,neutral,
chicken thigh,neutral,
chicken wing,neutral,
chicken wing drumette,neutral,
chickpea,neutral,
chickpea flour,neutral,
chile flake,neutral,
chile garlic sauce,neutral,
chile padi,neutral,
chile paste,neutral,
chile pepper,positive,A good source of flavor without adding sodium. Capsaicin may have anti-inflammatory benefits.
chile powder,negative,Commercial chili powders are often high in sodium.
chile sauce,very negative,Typically extremely high in sodium.
chilean sea bass fillet,negative,"High in phosphorus, which must be limited in a kidney-friendly diet."
chili bean paste,very negative,Extremely high in sodium due to fermentation and processing.
chili garlic sauce,very negative,Typically extremely high in sodium.
chili lime seasoning,negative,Seasoning blends are typically very high in sodium.
chili oil,neutral,
chili pepper,positive,A good source of flavor without adding sodium. Capsaicin may have anti-inflammatory benefits.
chili powder,negative,Commercial chili powders are often high in sodium.
chili sauce,very negative,Typically extremely high in sodium.
chili seasoning mix,very negative,Seasoning mixes are typically extremely high in sodium.
chinese barbequed pork,very negative,"A processed meat, which is very high in sodium and often contains phosphate additives."
chinese broccoli,negative,"High in potassium, which needs to be limited and carefully portioned."
chinese cabbage,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
chinese chive,neutral,
chinese cooking wine,negative,Very high in sodium.
chinese egg noodle,negative,"Made from refined flour, which can be a source of phosphorus and potassium."
chinese egg noodle nest,negative,"Made from refined flour, which can be a source of phosphorus and potassium."
chinese eggplant,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
chinese five spice powder,positive,A salt-free way to add flavor to food.
chinese hot prepared mustard,negative,Prepared mustards are typically high in sodium.
chinese moo shu pancake,neutral,
chinese rice vinegar,positive,"A low-sodium, low-potassium, and low-phosphorus way to add flavor."
chinese rice wine,negative,Often contains a high amount of sodium.
chinese roasted pork,very negative,"A processed meat, which is very high in sodium and often contains phosphate additives."
chipotle chile powder,positive,Pure chile powder is a good salt-free way to add flavor. Check labels for added salt.
chipotle chili powder,positive,Pure chili powder is a good salt-free way to add flavor. Check labels for added salt.
chipotle mayonnaise,negative,"High in sodium and fat, and may contain phosphate additives."
chipotle pepper,positive,A good source of flavor without adding sodium. Avoid those canned in high-sodium adobo sauce.
chive,positive,A low-potassium herb that adds flavor without sodium.
chocolate chip,negative,Chocolate is high in both potassium and phosphorus.
chocolate mix,very negative,"Very high in phosphorus, potassium, and sugar."
chocolate sprinkle,negative,High in sugar and contains phosphorus from chocolate.
chocolate wafer cookie,negative,"A processed food high in sugar, phosphorus, and potassium."
chorizo,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chorizo de bilbao,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chorizo sausage,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chourico,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chourico sausage,very negative,"A processed meat, extremely high in sodium and phosphate additives."
chow mein noodle,negative,"Often high in sodium and made from refined flour, which contains phosphorus."
chutney,negative,Typically very high in sugar and sodium.
ciabatta sandwich roll,negative,Made from refined flour and is often high in sodium and phosphorus.
cider vinegar,positive,"A low-sodium, low-potassium, and low-phosphorus way to add flavor."
cilantro,positive,A low-potassium herb that adds flavor without sodium.
cilantro leaf,positive,A low-potassium herb that adds flavor without sodium.
cilantro stem,positive,A low-potassium herb that adds flavor without sodium.
cinnamon,positive,A salt-free spice that adds flavor and may help with blood sugar control.
cinnamon stick,positive,A salt-free spice that adds flavor and may help with blood sugar control.
cinnamon sugar,neutral,
citric acid,positive,Citrate can help prevent the formation of certain types of kidney stones.
clam,negative,"High in protein and can be high in sodium and potassium, which should be limited."
clarified butter,neutral,
clove,neutral,
club soda,negative,Can be high in sodium and may contain phosphate additives.
coarse salt,very negative,"Extremely high in sodium, which raises blood pressure and causes fluid retention, straining the kidneys."
cocoa,negative,"High in potassium, phosphorus, and oxalates, which should be limited in a kidney diet."
cocoa mix,very negative,Very high in potassium and phosphorus from cocoa and often contains added phosphates and sodium.
cocoa powder,negative,"High in potassium, phosphorus, and oxalates, which should be limited in a kidney diet."
coconut,negative,High in potassium.
coconut cream,negative,"Concentrated source of coconut, making it very high in potassium."
coconut extract,neutral,
coconut flake,negative,"Concentrated source of coconut, making it high in potassium."
coconut flavored rum,negative,Alcohol should be limited for individuals with kidney disease.
coconut flour,negative,High in potassium and phosphorus.
coconut milk,negative,High in potassium and phosphorus.
coconut milk powder,very negative,"A concentrated form of coconut milk, making it extremely high in potassium and phosphorus."
coconut oil,neutral,
coconut preserve,negative,High in sugar and potassium from coconut.
coconut sugar,negative,High in sugar and contains more potassium than regular sugar.
coconut water,very negative,"Extremely high in potassium, which can be dangerous for damaged kidneys."
cod,neutral,
cod fish,neutral,
cod fillet,neutral,
coffee,negative,"High in potassium, and fluid intake may need to be restricted."
coffee bean,negative,High in potassium.
coffee flavored liqueur,negative,"Contains alcohol and potassium from coffee, both of which should be limited."
cola,very negative,"Often contains phosphoric acid, a highly absorbable form of phosphorus that is very harmful to kidneys."
cola flavored carbonated beverage,very negative,"Often contains phosphoric acid, a highly absorbable form of phosphorus that is very harmful to kidneys."
colby longhorn cheese,very negative,All cheese is very high in sodium and phosphorus.
coleslaw mix,positive,"Typically contains cabbage, which is a low-potassium, kidney-friendly vegetable."
collard green,negative,Very high in potassium and oxalates.
colored sprinkle,neutral,
condensed beef broth,very negative,Extremely high in sodium.
condensed cream of chicken soup,very negative,Extremely high in sodium and often contains phosphate additives.
condensed cream of mushroom soup,very negative,"Extremely high in sodium and potassium, and often contains phosphate additives."
condensed milk,very negative,"Very high in sugar, phosphorus, and potassium."
condensed tomato soup,very negative,Extremely high in sodium and potassium from tomatoes.
confectioners sugar,neutral,
cooking oil,neutral,
cooking sherry,very negative,Contains alcohol and is extremely high in sodium.
cooking spray,neutral,
cooking wine,very negative,Contains alcohol and is extremely high in sodium.
coriander,neutral,
coriander powder,neutral,
coriander seed,neutral,
corn,neutral,
corn flour,neutral,
corn husk,neutral,
corn kernel,neutral,
corn oil,neutral,
corn syrup,neutral,
corn tortilla,neutral,
corned beef,very negative,Extremely high in sodium from the curing process.
corned beef brisket,very negative,Extremely high in sodium from the curing process.
cornflakes cereal,negative,Often high in added sodium and may contain phosphorus additives.
cornichon,very negative,Very high in sodium due to the pickling process.
cornmeal,neutral,
cornstarch,positive,"Low in protein, sodium, potassium, and phosphorus; a good thickener for sauces."
cottage cheese,negative,High in both sodium and phosphorus.
country style pork rib,negative,High in protein and phosphorus; preparation can add significant sodium.
couscous,neutral,
cover,neutral,
crab meat,negative,High in phosphorus and canned versions are often high in sodium.
cranberry,positive,Low in potassium and may help prevent urinary tract infections.
cranberry juice,positive,Low in potassium; choose low-sugar options for best health benefits.
cranberry sauce,neutral,
cream,negative,A dairy product that contains phosphorus.
cream cheese,negative,High in sodium and phosphorus.
cream of coconut,negative,High in potassium and added sugar.
cream of tartar,negative,A concentrated source of potassium.
cream of wheat cereal,positive,A refined hot cereal that is low in phosphorus and potassium.
creme fraiche,negative,A dairy product that contains phosphorus.
crescent roll,negative,Processed dough high in sodium and phosphate additives.
crescent roll dough,negative,Processed dough high in sodium and phosphate additives.
crystallized ginger,neutral,
cuban bread,neutral,
cube,neutral,
cube steak,negative,Red meat is high in protein and phosphorus.
cucumber,positive,Low in potassium and good for hydration.
culantro,neutral,
cultured buttermilk,negative,Dairy product high in potassium and phosphorus.
cumin,positive,A salt-free way to add flavor to food.
cumin seed,positive,A salt-free way to add flavor to food.
curing salt,very negative,Extremely high in sodium; used to make processed meats.
currant,negative,Dried fruit that is a concentrated source of potassium.
curry leaf,neutral,
curry paste,negative,Often very high in sodium and may contain high-potassium ingredients.
curry powder,positive,"A good salt-free flavor alternative, assuming no salt is added to the blend."
custard powder,neutral,
daikon,positive,A low-potassium vegetable.
daikon radish,positive,A low-potassium vegetable.
damask rose petal,neutral,
danish butter,neutral,
dark brown sugar,negative,Higher in potassium than white sugar due to molasses content.
dark chocolate,negative,Very high in both potassium and phosphorus.
dark chocolate chip,negative,Very high in both potassium and phosphorus.
dark corn syrup,negative,Higher in potassium than light corn syrup.
dark raisin,negative,Dried fruit that is a concentrated source of potassium.
dark rum,neutral,
dark soy sauce,very negative,"Extremely high in sodium, which can increase blood pressure and fluid retention, straining the kidneys."
dashi granule,very negative,"A concentrated source of sodium and often potassium, both of which need to be strictly limited."
dashi kombu,negative,Kombu (seaweed) is very high in potassium.
dashi stock,very negative,"Typically very high in sodium from soy sauce, salt, and other flavorings."
date,negative,"Very high in potassium, which can build up to dangerous levels in the blood."
date paste,negative,"A concentrated form of dates, making it very high in potassium."
deep frying,negative,"This cooking method adds excessive fat, which can worsen cardiovascular health, a major concern for individuals with kidney disease."
deli roast pork loin,very negative,"Deli meats are typically processed with very high amounts of sodium and often contain phosphate additives, which are harmful to kidneys."
dende oil,neutral,
diakon radish,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
diamond crystal,very negative,"This is a brand of salt (sodium chloride), which must be severely restricted to manage blood pressure and fluid balance."
diced tomato,negative,Tomatoes and tomato products are high in potassium.
diet lemon lime soda,negative,"Many dark colas and some other sodas contain phosphoric acid, a form of phosphorus that is easily absorbed and should be avoided."
dijon mustard,negative,High in sodium.
dijon style mustard,negative,High in sodium.
dill,positive,"A fresh herb that can add flavor to food without adding sodium, helping to reduce salt intake."
dill pickle,very negative,Extremely high in sodium due to the brining and pickling process.
dill pickle juice,very negative,The brine is a concentrated source of sodium.
dill pickle slice,very negative,Extremely high in sodium due to the brining and pickling process.
dill pickle spear,very negative,Extremely high in sodium due to the brining and pickling process.
dill seed,positive,A spice that can add flavor to food without adding sodium.
dill weed,positive,An herb that can add flavor to food without adding sodium.
dinner roll dough,negative,Commercial doughs are often high in sodium and may contain phosphate additives.
distilled white vinegar,positive,A sodium-free way to add flavor and acidity to dishes.
double crust pie pastry,negative,"Typically high in sodium, fat, and refined carbohydrates. May contain phosphate additives."
dragon fruit,positive,A fruit that is relatively low in potassium compared to many other fruits.
dried apricot,very negative,"Dried fruits are a concentrated source of potassium, and apricots are particularly high."
dried bonito flake,negative,"High in protein, sodium, and potassium."
dried chourico sausage,very negative,"A processed, cured meat that is extremely high in sodium, protein, and often phosphate additives."
dried coconut,negative,High in both potassium and phosphorus.
