title,original_ingredients,standardized_ingredients
Goat Stew,"goat meat, vinegar, soy sauce, garlic, vegetable oil, onion, red bell pepper, tomato sauce, beef stock, potato, carrots, green peas, salt, pepper, cayenne pepper","goat meat, vinegar, soy sauce, garlic, vegetable oil, onion, red bell pepper, tomato sauce, beef stock, potato, carrot, green pea, salt, black pepper, cayenne pepper"
Keema Aloo (Ground Beef and Potatoes),"olive oil, Spanish onion, water, lean ground beef, garlic, ginger root, serrano chile pepper, cilantro, coriander, salt, cumin, cayenne pepper, turmeric, potatoes, tomatoes, green peas, garam masala","olive oil, spanish onion, water, lean ground beef, garlic, ginger root, serrano chile pepper, cilantro, coriander, salt, cumin, cayenne pepper, turmeric, potato, tomato, green pea, garam masala"
Chef John&#39;s Quick Cassoulet,"bacon, sausage, chicken thighs, onion, salt and pepper, chicken broth, cannellini beans, rosemary, thyme, cayenne pepper, butter, bread crumbs, Parmigiano-Reggiano","bacon, sausage, chicken thigh, onion, salt, black pepper, chicken broth, cannellini bean, rosemary, thyme, cayenne pepper, butter, bread crumb, parmesan cheese"
Stir-Fried Mushrooms with Baby Corn,"cooking oil, garlic, onion, baby corn ears, mushrooms, fish sauce, soy sauce, oyster sauce, water, cornstarch, red chile pepper, cilantro","cooking oil, garlic, onion, baby corn ear, mushroom, fish sauce, soy sauce, oyster sauce, water, cornstarch, red chile pepper, cilantro"
Meze Fava Beans,"olive oil, onion, fava beans, water, all-purpose flour, water, lemon juice, white sugar, salt, dill","olive oil, onion, fava bean, water, all purpose flour, lemon juice, white sugar, salt, dill"
Instant Pot Bahn Flan (Vietnamese Flan),"milk, white sugar, eggs, egg yolk, vanilla extract","milk, white sugar, egg, egg yolk, vanilla extract"
Biriyani,"olive oil, yogurt, distilled white vinegar, onion, tomatoes, green chile peppers, garlic, ginger paste, garam masala, mint, salt and pepper, cilantro, chicken, water, basmati rice, cinnamon stick, bay leaf, green cardamom, black cardamom, yellow food coloring","olive oil, yogurt, distilled white vinegar, onion, tomato, green chile pepper, garlic, ginger paste, garam masala, mint, salt, black pepper, cilantro, chicken, water, basmati rice, cinnamon stick, bay leaf, green cardamom, black cardamom, yellow food coloring"
Balti Chicken Pasanda,"Greek yogurt, almonds, garam masala, garlic, ginger, chili powder, salt, black cumin seeds, cinnamon stick, green cardamom, black peppercorns, chicken, vegetable oil, onions, green chile peppers, cilantro, light cream","greek yogurt, almond, garam masala, garlic, ginger, chile powder, salt, black cumin seed, cinnamon stick, green cardamom, black peppercorn, chicken, vegetable oil, onion, green chile pepper, cilantro, light cream"
Cordon Bleu Chicken Rolls,"chicken breasts, ham, Swiss cheese, thyme, salt and pepper, butter, cornflakes cereal, condensed cream of chicken soup, sour cream, lemon juice","chicken breast, ham, swiss cheese, thyme, salt, black pepper, butter, cornflakes cereal, condensed cream of chicken soup, sour cream, lemon juice"
Cheater Pierogi,"butter, bacon, bacon drippings, onion, Yukon Gold potatoes, cayenne pepper, egg, farmer’s cheese, egg, water, wonton wrappers, sour cream, chives","butter, bacon, bacon dripping, onion, yukon gold potato, cayenne pepper, egg, farmers cheese, water, wonton wrapper, sour cream, chive"
Beijinho de Coco (Coconut Little Kiss),"sweetened condensed milk, butter, coconut, coconut, cloves","sweetened condensed milk, butter, coconut, clove"
Beef Asado,"beef chuck roast, salt and pepper, cooking oil, onion, garlic, tomatoes, onion, Manzanilla olives, beef bouillon cubes, bay leaves, peppercorns, ketchup, red bell pepper, potatoes, corn flour, water","beef chuck roast, salt, black pepper, cooking oil, onion, garlic, tomato, manzanilla olive, beef bouillon cube, bay leaf, peppercorn, ketchup, red bell pepper, potato, corn flour, water"
Brazilian Peanut Fudge,"peanuts, tea biscuits, white sugar, sweetened condensed milk","peanut, tea biscuit, white sugar, sweetened condensed milk"
Lentil and Green Collard Soup,"olive oil, onion, salt, red lentils, water, collard greens, garlic, cumin, cinnamon, lemon juice","olive oil, onion, salt, red lentil, water, collard green, garlic, cumin, cinnamon, lemon juice"
Oyakodon (Japanese Chicken and Egg Rice Bowl),"olive oil, chicken thighs, onion, dashi stock, soy sauce, mirin, brown sugar, eggs, white rice","olive oil, chicken thigh, onion, dashi stock, soy sauce, mirin, brown sugar, egg, white rice"
Menemen,"olive oil, onion, red bell pepper, Aleppo chiles, red pepper flakes, garlic, tomato, salt and ground black pepper, eggs, basil, feta cheese","olive oil, onion, red bell pepper, aleppo chile, red pepper flake, garlic, tomato, salt, black pepper, egg, basil, feta cheese"
Sofrito,"ajies dulces peppers, onions, tomatoes, green bell peppers, red bell peppers, garlic, cilantro stems, recao, salt, black pepper","aji dulce pepper, onion, tomato, green bell pepper, red bell pepper, garlic, cilantro stem, recaito, salt, black pepper"
The Best Classic Beef Stroganoff,"all-purpose flour, salt, black pepper, beef tenderloin, butter, water, onion, garlic, mushrooms, condensed cream of chicken soup, sour cream","all purpose flour, salt, black pepper, beef tenderloin, butter, water, onion, garlic, mushroom, condensed cream of chicken soup, sour cream"
Victor&#39;s Non-Dairy Hawaiian Coconut Mochi Cake,"almond milk, sugar, eggs, vegan margarine, vanilla extract, baking powder, sweet rice flour, coconut flakes","almond milk, sugar, egg, margarine, almond extract, baking powder, sweet rice flour, coconut flake"
Mom&#39;s Portuguese Beef Stew,"olive oil, beef stew meat, all-purpose flour, garlic, bay leaves, black pepper, salt, onion, green bell pepper, carrot, paprika, tomato, white wine, water, parsley, potatoes, sweet potato, green beans","olive oil, beef stew meat, all purpose flour, garlic, bay leaf, black pepper, salt, onion, green bell pepper, carrot, paprika, tomato, white wine, water, parsley, potato, sweet potato, green bean"
South African Bobotie,"oil, onion, beef, bread, milk, egg, raisins, white vinegar, white sugar, turmeric, salt, curry powder, black pepper, bay leaves, chutney","oil, onion, beef, bread, milk, egg, raisin, white vinegar, sugar, turmeric, salt, curry powder, black pepper, bay leaf, chutney"
Pure Maple Candy,"maple syrup, walnuts","maple syrup, walnut"
Banh-Mi Style Vietnamese Baguette,"portobello mushroom caps, olive oil, salt and pepper, carrot, daikon radish, rice vinegar, lime juice, water, lime juice, soy sauce, nuoc mam, sesame oil, canola oil, garlic, white sugar, water, jalapeno pepper, cilantro, cucumber, Thai basil, French bread baguettes","portobello mushroom, olive oil, salt, black pepper, carrot, daikon radish, rice vinegar, lime juice, water, soy sauce, nuoc mam, sesame oil, canola oil, garlic, sugar, jalapeno pepper, cilantro, cucumber, thai basil, french bread baguette"
Lefse II,"buttermilk, light corn syrup, sugar, baking soda, cardamom, all-purpose flour","buttermilk, light corn syrup, sugar, baking soda, cardamom, all purpose flour"
Thai Coffee,"coffee beans, cardamom, water, sweetened condensed milk","coffee bean, cardamom, water, sweetened condensed milk"
Finnish-Style Mojakka,"butter, beef roast, water, onion, salt, black pepper, potatoes, carrots, celery, all-purpose flour","butter, beef roast, water, onion, salt, black pepper, potato, carrot, celery, all purpose flour"
Tteokbokki (Korean Spicy Rice Cakes),"water, anchovies, chile paste, white sugar, soy sauce, corn syrup, Korean fish cakes, onion, spring onion","water, anchovy, chile paste, sugar, soy sauce, corn syrup, korean fish cake, onion, green onion"
Scandinavian Sweetheart Waffles,"eggs, sugar, vanilla sugar, water, butter, buttermilk, all-purpose flour, cardamom, salt","egg, sugar, vanilla sugar, water, butter, buttermilk, all purpose flour, cardamom, salt"
BaumKuchen,"unsalted butter, confectioners' sugar, cornstarch, almond paste, vanilla extract, salt, egg yolks, egg whites, white sugar, all-purpose flour, semisweet chocolate, vegetable oil","unsalted butter, confectioners sugar, cornstarch, almond paste, almond extract, salt, egg yolk, egg white, sugar, all purpose flour, semisweet chocolate, vegetable oil"
Chef John&#39;s Chinese Scallion Pancakes,"bread flour, kosher salt, water, vegetable oil, sesame oil, all-purpose flour, all-purpose flour, green onions, vegetable oil","bread flour, salt, water, vegetable oil, sesame oil, all purpose flour, green onion"
Dol Sot Bi Bim Bap,"soy sauce, sugar, brown sugar, garlic, green onion, sesame seeds, rib-eye steak, salt and pepper, glutinous (sticky) white rice, water, shiitake mushrooms, spinach, cucumber, carrots, sesame oil, bean sprouts, eggs, nori, sesame oil, chili bean paste","soy sauce, sugar, brown sugar, garlic, green onion, sesame seed, beef rib eye steak, salt, black pepper, glutinous white rice, water, shiitake mushroom, spinach, cucumber, carrot, sesame oil, bean sprout, egg, nori, chili bean paste"
Japanese-Style Sesame Green Beans,"canola oil, sesame oil, green beans, soy sauce, sesame seeds","canola oil, sesame oil, green bean, soy sauce, sesame seed"
Vermicelli Noodle Bowl,"white vinegar, fish sauce, white sugar, lime juice, garlic, red pepper flakes, canola oil, shallots, skewers, shrimp, rice vermicelli noodles, lettuce, bean sprouts, English cucumber, carrots, diakon radish, peanuts, cilantro, Thai basil, mint","white vinegar, fish sauce, sugar, lime juice, garlic, red pepper flake, canola oil, shallot, skewer, shrimp, rice vermicelli noodle, lettuce, bean sprout, english cucumber, carrot, daikon radish, peanut, cilantro, thai basil, mint"
Lebanese Bean Salad,"fava beans, chickpeas, white beans, flat leaf parsley, olive oil, garlic, lemon, kosher salt and ground black pepper","fava bean, chickpea, white bean, flat leaf parsley, olive oil, garlic, lemon, salt, black pepper"
Easy Garam Masala,"cumin, coriander, cardamom, black pepper, cinnamon, cloves, nutmeg","cumin, coriander, cardamom, black pepper, cinnamon, clove, nutmeg"
Mojito Perfecto,"mint leaves, sugar, lime, lemon-flavored rum, ice cubes, carbonated water","mint leaf, sugar, lime, rum, ice cube, carbonated water"
Naan,"active dry yeast, water, sugar, milk, egg, salt, bread flour, garlic, butter","active dry yeast, water, sugar, milk, egg, salt, bread flour, garlic, butter"
Ropa Vieja (Cuban Beef),"flank steak, kosher salt, black pepper, cayenne pepper, olive oil, red onion, garlic, cumin, paprika, oregano, cayenne pepper, cloves, allspice, white wine, tomato sauce, chicken broth, bay leaves, bell peppers, poblano pepper, smoked paprika, capers, green olives, white sugar, cilantro","flank steak, kosher salt, black pepper, cayenne pepper, olive oil, red onion, garlic, cumin, paprika, oregano, cloves, allspice, white wine, tomato sauce, chicken broth, bay leaf, bell pepper, poblano pepper, smoked paprika, caper, green olive, white sugar, cilantro"
Maja Blanca,"coconut milk, sugar, cornstarch, coconut milk, corn, corn kernels","coconut milk, sugar, cornstarch, corn, corn kernel"
Brazilian-Style Carrot Cake with Chocolate Sauce,"white sugar, eggs, vegetable oil, carrots, all-purpose flour, baking powder, sugar, cocoa powder, milk, unsalted butter","white sugar, egg, vegetable oil, carrot, all purpose flour, baking powder, sugar, cocoa powder, milk, unsalted butter"
Pani PoPo,"dinner rolls dough, water, coconut milk, sugar, cornstarch","dinner roll dough, water, coconut milk, sugar, cornstarch"
Cuban Pork,"pork tenderloin, lime, olive oil, cumin, salt, red pepper flakes, garlic","pork tenderloin, lime, olive oil, cumin, salt, red pepper flake, garlic"
Rendang Gaging (Beef Stew),"shallots, lemongrass, garlic, ginger root, galangal, red chile peppers, vegetable oil, curry powder, beef stew meat, coconut milk, vinegar, brown sugar, salt","shallot, lemongrass, garlic, ginger root, galangal, red chile pepper, vegetable oil, curry powder, beef stew meat, coconut milk, vinegar, brown sugar, salt"
Aranitas (Shredded Green Plantain Patties),"canola oil, plantains, garlic salt","canola oil, plantain, garlic salt"
Gochujang Fried Rice,"vegetable oil, garlic, ginger, mixed color bell peppers, carrots, onion, white rice, gochujang, low-sodium soy sauce, sesame oil, green onions, sesame seeds","vegetable oil, garlic, ginger, mixed color bell pepper, carrot, onion, white rice, gochujang, low sodium soy sauce, sesame oil, green onion, sesame seed"
Slow Cooker German-Style Pork Roast with Sauerkraut and Potatoes,"white potatoes, garlic, salt and pepper, pork loin roast, sauerkraut, caraway seeds","white potato, garlic, salt, black pepper, pork loin roast, bavarian style sauerkraut, caraway seed"
Shiraz Salad,"cucumbers, tomato, onion, lemon juice, mint","cucumber, tomato, onion, lemon juice, mint"
Swedish Limpa Rye Bread,"caraway seeds, fennel seeds, anise seeds, milk, butter, molasses, active dry yeast, all-purpose flour, rye flour, sea salt, orange zest","caraway seed, fennel seed, anise seed, milk, butter, molasses, active dry yeast, all purpose flour, rye flour, sea salt, orange zest"
Pasteles with Yuca and Plantains,"yuca, green plantains, yautia, milk, lard, achiote seeds, olive oil, onion, green bell pepper, pork shoulder roast, ham, garbanzo beans, tomato sauce, Spanish olives, capers, orange juice, cilantro, oregano, salt, garlic, plantain leaves, string","yuca, green plantain, yautia, milk, lard, achiote seed, olive oil, onion, green bell pepper, pork shoulder roast, ham, garbanzo bean, tomato sauce, black olive, caper, orange juice, cilantro, oregano, salt, garlic, plantain leaf"
Pakistani Chapli Kebab,"spray, egg, beef, red onion, tomato, cilantro, mint, ginger-garlic paste, coriander seeds, salt, cumin, cayenne pepper, tomato, vegetable oil","egg, beef, red onion, tomato, cilantro, mint, ginger garlic paste, coriander seed, salt, cumin, cayenne pepper, vegetable oil"
Thai Fried Rice with Pineapple and Chicken,"bacon, shallots, chicken breast, curry powder, vegetable oil, egg yolks, jasmine rice, Thai bird chile pepper, cilantro leaves, soy sauce, fish sauce, white sugar, tiger prawns, pineapple, green onions","bacon, shallot, chicken breast, curry powder, vegetable oil, egg yolk, jasmine rice, thai bird chile pepper, cilantro leaf, soy sauce, fish sauce, white sugar, tiger prawn, pineapple, green onion"
Danish Oatmeal Cookies,"all-purpose flour, baking soda, salt, butter, confectioners' sugar, vanilla extract, oatmeal, pecans, confectioners' sugar","all purpose flour, baking soda, salt, butter, confectioners sugar, vanilla extract, oatmeal, pecan"
Tahini Butter Cookies,"butter, sugar, vanilla extract, tahini, all-purpose flour, baking powder","butter, sugar, vanilla extract, tahini, all purpose flour, baking powder"
Onigiri (Japanese Rice Balls),"short-grain white rice, water, salt, bonito shavings, nori, sesame seeds","short grain white rice, water, salt, bonito shaving, nori, sesame seed"
Nasi Goreng (Indonesian Fried Rice),"spray, eggs, vegetable oil, onion, leek, green chile peppers, garlic, chicken breasts, prawns, coriander, cumin, white rice, sweet soy sauce","egg, vegetable oil, onion, leek, green chile pepper, garlic, chicken breast, prawn, coriander, cumin, white rice, sweet soy sauce"
Ostkaka (Swedish Cheesecake),"milk, all-purpose flour, rennet tablet, water, butter, eggs, sugar, whipping cream","milk, all purpose flour, rennet tablet, water, butter, egg, sugar, whipping cream"
Instant Pot Bobo de Frango (Brazilian Chicken Stew),"chicken tenders, salt, lime, olive oil, yellow onion, yellow bell pepper, garlic, chicken broth, yuca (cassava) roots, tomato, coconut milk, table cream, evaporated milk, cilantro, dende oil","chicken tender, salt, lime, olive oil, yellow onion, yellow bell pepper, garlic, chicken broth, yuca, tomato, coconut milk, cream, evaporated milk, cilantro, dende oil"
French Onion Soup Gratinée,"butter, red onions, onions, salt, chicken broth, beef broth, red wine, Worcestershire sauce, parsley, thyme leaves, bay leaf, balsamic vinegar, French bread, Gruyère cheese, Asiago cheese, paprika","butter, red onion, onion, salt, chicken broth, beef broth, red wine, worcestershire sauce, parsley, thyme leaf, bay leaf, balsamic vinegar, french bread, gruyere cheese, asiago cheese, paprika"
Russian Green Bean and Potato Soup,"vegetable oil, onion, potatoes, green beans, broth, whole wheat flour, sour cream, sauerkraut, dill, Salt and pepper","vegetable oil, onion, potato, green bean, broth, whole wheat flour, sour cream, bavarian style sauerkraut, dill, salt, black pepper"
Khao Soi Soup,"vegetable oil, shallots, garlic, red curry paste, curry powder, coconut milk, water, chicken, sea salt, fish sauce, white sugar, lime juice, vegetable oil, Thai chile peppers, shallots, bok choy, rice noodles, pickled mustard cabbage, cilantro, lime","vegetable oil, shallot, garlic, red curry paste, curry powder, coconut milk, water, chicken, sea salt, fish sauce, white sugar, lime juice, thai chile pepper, bok choy, rice noodle, pickled mustard cabbage, cilantro, lime"
Korean Soft Tofu Stew (Soon Du Bu Jigae),"vegetable oil, Korean chile powder, ground beef, Korean soy bean paste, water, salt and pepper, tofu, egg, sesame seeds, green onion","vegetable oil, korean red pepper powder, ground beef, korean soy bean paste, water, salt, black pepper, tofu, egg, sesame seed, green onion"
Garlic Dill New Potatoes,"red potatoes, butter, dill, garlic, salt","red potato, butter, dill, garlic, salt"
Stuffed Turkey Legs,"turkey legs, olive oil, green bell peppers, white onion, salt, black pepper, oregano, distilled white vinegar, bacon, teriyaki sauce","turkey leg, olive oil, green bell pepper, white onion, salt, black pepper, oregano, distilled white vinegar, bacon, teriyaki sauce"
Dutch Bokkenpootjes - Goat&#39;s Feet,"egg whites, white sugar, almond meal, cinnamon, lemon, vanilla extract, butter, confectioners' sugar, vanilla extract, bittersweet chocolate","egg white, white sugar, almond meal, cinnamon, lemon, vanilla extract, butter, confectioners sugar, bittersweet chocolate"
Greek-Style Potatoes,"potatoes, water, olive oil, lemon juice, garlic, chicken bouillon, thyme, rosemary, black pepper","potato, water, olive oil, lemon juice, garlic, chicken bouillon, thyme, rosemary, black pepper"
Kalam Polo (Persian Cabbage and Rice),"water, saffron, vegetable oil, onion, beef, salt, black pepper, turmeric, cabbage, cinnamon, ginger, basmati rice, water, butter, water","water, saffron, vegetable oil, onion, beef, salt, black pepper, turmeric, cabbage, cinnamon, ginger, basmati rice, butter"
Pakistani Batter-Fried Potatoes,"vegetable oil, gram flour, salt, cayenne pepper, cumin seeds, baking powder, water, potatoes","vegetable oil, gram flour, salt, cayenne pepper, cumin seed, baking powder, water, potato"
Jamaican Beef Patties,"all-purpose flour, curry powder, salt, margarine, shortening, water, margarine, beef, onion, Scotch bonnet chile, curry powder, allspice, cloves, thyme, pepper, salt, beef bouillon, water, browning, bay leaf, bread crumbs, egg","all purpose flour, curry powder, salt, margarine, shortening, water, beef, onion, scotch bonnet chile, allspice, clove, thyme, pepper, beef bouillon, browning, bay leaf, bread crumb, egg"
Chipotle Barbacoa,"vegetable oil, beef chuck roast, chipotle peppers, apple cider, lime juice, garlic, cumin, serrano chile pepper, cayenne pepper, oregano, black pepper, garlic powder, salt, cloves, chicken broth, onion, bay leaves","vegetable oil, beef chuck roast, chipotle pepper, apple cider, lime juice, garlic, cumin, serrano chile pepper, cayenne pepper, oregano, black pepper, garlic powder, salt, clove, chicken broth, onion, bay leaf"
Canadian Sharp Cheddar Cheese Spread,"cream cheese, Cheddar cheese, red onion, Worcestershire sauce, black pepper, paprika, hot sauce","cream cheese, cheddar cheese, red onion, worcestershire sauce, black pepper, paprika, hot sauce"
Quick Vegetarian Picadillo Empanadas,"olive oil, lentils, sofrito, garlic, oregano, salt, black pepper, potatoes, tomato sauce, pimento-stuffed green olives, vegetable oil, empanada pastry discs","olive oil, lentil, sofrito, garlic, oregano, salt, black pepper, potato, tomato sauce, pimento stuffed green olive, empanada pastry disc"
Jamaican Style Curry Chicken,"vegetable oil, onion, tomato, habanero pepper, garlic clove, Jamaican-style curry powder, thyme, chicken breast halves, water, salt","vegetable oil, onion, tomato, habanero pepper, garlic clove, jamaican curry powder, thyme, chicken breast half, water, salt"
Red Wine Reduction Sauce,"olive oil, shallot, pinot noir wine, beef broth, butter, Italian seasoning, salt","olive oil, shallot, pinot noir wine, beef broth, butter, italian seasoning, salt"
Chewy Coconut Bibingka (Filipino Rice Cake),"coconut milk, sweetened condensed milk, butter, eggs, macapuno strings, sweet rice flour, brown sugar, vanilla extract","coconut milk, sweetened condensed milk, butter, egg, macapuno string, sweet rice flour, brown sugar, vanilla extract"
Cinnamon Babka,"all-purpose flour, instant yeast, sugar, kosher salt, cinnamon, egg, water, unsalted butter, vanilla extract, spray, light brown sugar, all-purpose flour, cinnamon, unsalted butter, egg yolk, water, all-purpose flour, light brown sugar, cinnamon, kosher salt, unsalted butter","all purpose flour, instant yeast, sugar, kosher salt, cinnamon, egg, water, unsalted butter, vanilla extract, cooking spray, light brown sugar, egg yolk"
Beef Empanadas,"olive oil, yellow onions, scallions, green bell pepper, ground beef, oregano, salt, cayenne pepper, cumin, butter, empanada pastry discs, egg white","olive oil, yellow onion, scallion, green bell pepper, ground beef, oregano, salt, cayenne pepper, cumin, butter, empanada pastry disc, egg white"
Jerk Seasoning,"onion, thyme, allspice, black pepper, cinnamon, cayenne pepper, salt","onion, thyme, allspice, black pepper, cinnamon, cayenne pepper, salt"
Greek Garbanzo Bean Salad,"garbanzo beans, cucumbers, black olives, cherry tomatoes, onion, Italian-style salad dressing, garlic, lemon, feta cheese, garlic salt, black pepper","garbanzo bean, cucumber, black olive, cherry tomato, onion, italian style salad dressing, garlic, lemon, feta cheese, garlic salt, black pepper"
Galaktoboureko,"white sugar, semolina flour, cornstarch, salt, whole milk, eggs, vanilla extract, butter, phyllo dough, water","sugar, semolina flour, cornstarch, salt, milk, egg, vanilla extract, butter, phyllo dough, water"
Beef and Beet Borscht,"bone-in beef shank, water, onion, carrots, celery, bay leaf, beets, cabbage, white vinegar, sour cream, dill","bone in beef shank, water, onion, carrot, celery, bay leaf, beet, cabbage, white vinegar, sour cream, dill"
Poutine Gravy,"vegetable oil, beef chuck, butter, onions, salt, black pepper, cayenne pepper, all-purpose flour, beef broth, French fries, cheese curds, chives","vegetable oil, beef chuck, butter, onion, salt, black pepper, cayenne pepper, all purpose flour, beef broth, french fry, cheese curd, chive"
Botercake (Butter Cake),"butter, white sugar, vanilla sugar, lemon zest, sugar, salt, eggs, all-purpose flour, baking powder","butter, sugar, vanilla sugar, lemon zest, salt, egg, all purpose flour, baking powder"
Jujeh Kabob (Persian Chicken Kabobs),"onion, lime, lemon, salt, black pepper, saffron, olive oil, chicken breasts, metal skewers","onion, lime, lemon, salt, black pepper, saffron, olive oil, chicken breast, metal skewer"
Gulab Jamun or Kala Jam (Waffle Balls),"water, white sugar, cardamom, rose water, saffron, instant dry milk powder, all-purpose flour, baking soda, unsalted butter, yogurt, vegetable oil","water, sugar, cardamom, rose water, saffron, instant dry milk powder, all purpose flour, baking soda, butter, yogurt, vegetable oil"
