menu_title,positive,negative,very_negative,neutral,reasoning
Curry Stand Chicken Tikka Masala Sauce,7,2,1,0,"ginger (positive): Contains compounds that may improve insulin sensitivity and have anti-inflammatory effects. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | cayenne pepper (positive): Contains capsaicin, which may have a modest beneficial effect on blood glucose and metabolism. | tomato sauce (negative): Canned or jarred versions often contain significant amounts of added sugar and sodium. | cinnamon (positive): May help lower blood sugar levels and improve insulin sensitivity. | white sugar (very negative): A simple sugar with no nutritional value that causes a very rapid and significant spike in blood sugar levels. | chicken breast (positive): A very lean source of protein with no carbohydrates, ideal for blood sugar control and weight management. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | turmeric (positive): Contains curcumin, which has anti-inflammatory properties and may help improve insulin sensitivity."
Filipino-Style Congee (Lugaw),7,1,1,0,"ginger (positive): Contains compounds that may improve insulin sensitivity and have anti-inflammatory effects. | green onion (positive): A low-calorie, low-carb, non-starchy vegetable that adds flavor without impacting blood sugar. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | egg (positive): Excellent source of protein with minimal carbohydrates, which helps with blood sugar control and satiety. | white rice (very negative): A refined grain with a high glycemic index that is quickly digested and causes a sharp spike in blood sugar. | chicken breast (positive): A very lean source of protein with no carbohydrates, ideal for blood sugar control and weight management. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | fish sauce (negative): Extremely high in sodium, which can contribute to high blood pressure, a common comorbidity with diabetes. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar."
Air Fryer Chicken Katsu with Homemade Katsu Sauce,3,6,1,0,"ketchup (negative): Typically contains significant amounts of added sugar and sodium, which negatively impact blood sugar and blood pressure. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | egg (positive): Excellent source of protein with minimal carbohydrates, which helps with blood sugar control and satiety. | soy sauce (negative): Very high in sodium, which can contribute to high blood pressure, a common comorbidity with diabetes. | panko bread crumb (negative): A refined carbohydrate that can cause a rapid increase in blood sugar. | brown sugar (very negative): A form of sugar that causes a rapid and significant spike in blood sugar. | chicken breast (positive): A very lean source of protein with no carbohydrates, ideal for blood sugar control and weight management. | worcestershire sauce (negative): Often contains added sugar and high levels of sodium, which should be limited. | sherry (negative): An alcoholic beverage that can interfere with blood sugar control and medication."
Tom Ka Gai (Coconut Chicken Soup),8,2,0,0,"green onion (positive): A low-calorie, low-carb, non-starchy vegetable that adds flavor without impacting blood sugar. | cayenne pepper (positive): Contains capsaicin, which may have a modest beneficial effect on blood glucose and metabolism. | chicken meat (positive): An excellent source of lean protein with no carbohydrates, which helps with satiety and does not raise blood sugar. | coconut milk (negative): High in saturated fat, which should be limited to manage cardiovascular risk. | cilantro (positive): A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | ginger root (positive): May help lower blood sugar levels and improve insulin sensitivity due to its anti-inflammatory properties. | fish sauce (negative): Extremely high in sodium, which can contribute to high blood pressure, a common comorbidity with diabetes. | lime juice (positive): Very low in sugar and can help lower the glycemic index of a meal. | turmeric (positive): Contains curcumin, which has anti-inflammatory properties and may help improve insulin sensitivity."
Bacalao a la Vizcaina (Basque-Style Codfish Stew),8,5,0,0,"cod fish (positive): An excellent source of lean protein and omega-3 fatty acids, which support heart health and do not raise blood sugar. | potato (negative): A starchy vegetable with a high glycemic index that can cause significant spikes in blood sugar levels. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | egg (positive): Excellent source of protein with minimal carbohydrates, which helps with blood sugar control and satiety. | tomato sauce (negative): Canned or jarred versions often contain significant amounts of added sugar and sodium. | olive oil (positive): Excellent source of monounsaturated fats which can improve insulin sensitivity. | golden raisin (negative): A concentrated source of sugar and carbohydrates that can quickly raise blood sugar levels. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | roasted red bell pepper (positive): A non-starchy vegetable, low in carbohydrates and high in fiber and vitamins. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | green olive (positive): Rich in healthy monounsaturated fats and low in carbs, but should be eaten in moderation due to high sodium from brining. | white wine (negative): Contains alcohol and sugar, which can disrupt blood sugar control and add empty calories. | caper (negative): Very high in sodium due to being packed in brine, which can negatively affect blood pressure."
Canadian Yellow Split Pea Soup with Ham,5,1,0,0,"carrot (positive): A non-starchy vegetable rich in fiber and beta-carotene, with a low glycemic load. | ham bone (negative): Adds significant amounts of sodium and saturated fat to dishes. | celery (positive): Extremely low in calories and carbohydrates, high in fiber and water content, making it excellent for blood sugar management. | spanish onion (positive): A low-carbohydrate, high-fiber vegetable that has a minimal impact on blood sugar. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | yellow split pea (positive): A complex carbohydrate rich in fiber and protein, which helps manage blood sugar levels."
Adobong Pusit (Squid Adobo),7,2,0,0,"garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | soy sauce (negative): Very high in sodium, which can contribute to high blood pressure, a common comorbidity with diabetes. | olive oil (positive): Excellent source of monounsaturated fats which can improve insulin sensitivity. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | tomato (positive): A non-starchy vegetable, low in carbohydrates and calories, and a good source of vitamins and fiber. | squid (positive): A lean source of protein with no carbohydrates, so it does not raise blood sugar. | white vinegar (positive): Vinegar may help improve insulin sensitivity and lower the glycemic response to a meal."
Israeli Tomato and Cucumber Salad,7,0,0,0,"purple onion (positive): Low glycemic index and contains beneficial plant compounds that may help with blood sugar control. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | roma tomato (positive): A non-starchy vegetable, low in carbohydrates and a good source of vitamins and fiber. | english cucumber (positive): A non-starchy vegetable with high water content, very low in carbohydrates and calories. | olive oil (positive): Excellent source of monounsaturated fats which can improve insulin sensitivity. | lemon juice (positive): Very low in sugar and can help lower the glycemic index of a meal. | red bell pepper (positive): A non-starchy vegetable, low in carbohydrates and high in vitamins and fiber."
Danish Almond Puff,2,1,3,0,"egg (positive): Excellent source of protein with minimal carbohydrates, which helps with blood sugar control and satiety. | candy sprinkle (very negative): Composed almost entirely of sugar, leading to a rapid and unhealthy increase in blood sugar. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | all purpose flour (very negative): A refined carbohydrate with a high glycemic index, causing a rapid spike in blood sugar levels. | confectioners sugar (very negative): A form of pure, refined sugar that is rapidly absorbed and causes a significant blood sugar spike. | butter (negative): High in saturated fat, which can contribute to insulin resistance and cardiovascular issues, common concerns for diabetics."
Instant Pot Haluski with Kielbasa,2,5,0,0,"egg noodle (negative): A refined carbohydrate that can cause a rapid spike in blood sugar levels. | yellow onion (positive): A low-carbohydrate vegetable that adds flavor and contains beneficial plant compounds. | cabbage (positive): A low-carbohydrate, high-fiber vegetable that can help regulate blood sugar and is rich in nutrients. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | chicken broth (negative): Commercial versions are often very high in sodium, which is a concern for blood pressure management. | butter (negative): High in saturated fat, which can contribute to insulin resistance and cardiovascular issues, common concerns for diabetics. | kielbasa sausage (negative): A processed meat high in sodium and saturated fat, which are risk factors for heart disease, a common complication of diabetes."
Slow Cooker Spanish Beef Stew,4,2,0,0,"beef stew meat (negative): Usually from fattier cuts like chuck, increasing saturated fat intake. | potato (negative): A starchy vegetable with a high glycemic index that can cause significant spikes in blood sugar levels. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | spanish onion (positive): A low-carbohydrate, high-fiber vegetable that has a minimal impact on blood sugar. | green olive (positive): Rich in healthy monounsaturated fats and low in carbs, but should be eaten in moderation due to high sodium from brining. | tomato (positive): A non-starchy vegetable, low in carbohydrates and calories, and a good source of vitamins and fiber."
Macarons (French Macaroons),2,0,2,0,"confectioners sugar (very negative): A form of pure, refined sugar that is rapidly absorbed and causes a significant blood sugar spike. | sugar (very negative): Directly and rapidly raises blood glucose levels, and is a primary substance to limit for diabetes management. | egg white (positive): A pure source of protein with no carbohydrates or fat, excellent for blood sugar management. | almond (positive): High in healthy fats, fiber, and magnesium, which can help improve blood sugar control and insulin sensitivity."
Instant Pot® Cuban-Style Black Beans,8,2,1,0,"garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | bacon (very negative): Processed meat high in saturated fat and sodium, which significantly increases cardiovascular risk. | jalapeno pepper (positive): Very low in carbs and calories. Capsaicin may have minor metabolic benefits. | black bean (positive): High in plant-based protein and soluble fiber, which helps to slow carbohydrate absorption and stabilize blood sugar levels. | red wine vinegar (positive): Contains acetic acid, which may help improve insulin sensitivity and lower post-meal blood sugar response. | chicken broth (negative): Commercial versions are often very high in sodium, which is a concern for blood pressure management. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | lime (positive): Very low in sugar and can help lower the glycemic index of a meal. | cilantro (positive): A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar. | sazon seasoning (negative): Commercial blends are often very high in sodium."
Goat Stew,7,5,0,0,"carrot (positive): A non-starchy vegetable rich in fiber and beta-carotene, with a low glycemic load. | potato (negative): A starchy vegetable with a high glycemic index that can cause significant spikes in blood sugar levels. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | goat meat (positive): A good source of lean protein, which helps with satiety and has a minimal impact on blood sugar. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | cayenne pepper (positive): Contains capsaicin, which may have a modest beneficial effect on blood glucose and metabolism. | soy sauce (negative): Very high in sodium, which can contribute to high blood pressure, a common comorbidity with diabetes. | tomato sauce (negative): Canned or jarred versions often contain significant amounts of added sugar and sodium. | beef stock (negative): Often very high in sodium. Low-sodium versions are a better choice. | vinegar (positive): Studies suggest it may help improve insulin sensitivity and lower the blood sugar response to a meal. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | red bell pepper (positive): A non-starchy vegetable, low in carbohydrates and high in vitamins and fiber."
Keema Aloo (Ground Beef and Potatoes),12,2,0,0,"potato (negative): A starchy vegetable with a high glycemic index that can cause significant spikes in blood sugar levels. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | tomato (positive): A non-starchy vegetable, low in carbohydrates and calories, and a good source of vitamins and fiber. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | cayenne pepper (positive): Contains capsaicin, which may have a modest beneficial effect on blood glucose and metabolism. | serrano chile pepper (positive): Adds flavor with negligible calories or carbs. | olive oil (positive): Excellent source of monounsaturated fats which can improve insulin sensitivity. | spanish onion (positive): A low-carbohydrate, high-fiber vegetable that has a minimal impact on blood sugar. | cilantro (positive): A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | ginger root (positive): May help lower blood sugar levels and improve insulin sensitivity due to its anti-inflammatory properties. | coriander (positive): Some studies suggest it may help lower blood sugar levels, and it adds flavor without calories or sodium. | lean ground beef (positive): A lean source of protein that does not raise blood sugar and helps with satiety. | turmeric (positive): Contains curcumin, which has anti-inflammatory properties and may help improve insulin sensitivity."
Chef John's Quick Cassoulet,3,4,2,0,"bread crumb (negative): Made from refined bread, they are a source of simple carbohydrates that can raise blood sugar. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | bacon (very negative): Processed meat high in saturated fat and sodium, which significantly increases cardiovascular risk. | cayenne pepper (positive): Contains capsaicin, which may have a modest beneficial effect on blood glucose and metabolism. | chicken broth (negative): Commercial versions are often very high in sodium, which is a concern for blood pressure management. | cannellini bean (positive): An excellent source of plant-based protein and fiber, which helps to stabilize blood sugar levels. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | butter (negative): High in saturated fat, which can contribute to insulin resistance and cardiovascular issues, common concerns for diabetics. | sausage (very negative): Processed meat that is typically very high in saturated fat and sodium, increasing cardiovascular risk."
Stir-Fried Mushrooms with Baby Corn,7,4,0,0,"garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | oyster sauce (negative): Typically high in sodium and often contains added sugar. | mushroom (positive): Low in carbohydrates and calories, with a low glycemic index. | soy sauce (negative): Very high in sodium, which can contribute to high blood pressure, a common comorbidity with diabetes. | red chile pepper (positive): Low in carbohydrates and contains capsaicin, which may have metabolic benefits. | baby corn ear (positive): A non-starchy vegetable with a low impact on blood sugar. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | fish sauce (negative): Extremely high in sodium, which can contribute to high blood pressure, a common comorbidity with diabetes. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | cornstarch (negative): A pure, refined starch that acts like sugar in the body and will raise blood glucose quickly. | cilantro (positive): A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar."
Meze Fava Beans,5,1,2,0,"fava bean (positive): A good source of plant-based protein and fiber, which helps to slow digestion and prevent blood sugar spikes. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | olive oil (positive): Excellent source of monounsaturated fats which can improve insulin sensitivity. | lemon juice (positive): Very low in sugar and can help lower the glycemic index of a meal. | white sugar (very negative): A simple sugar with no nutritional value that causes a very rapid and significant spike in blood sugar levels. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | all purpose flour (very negative): A refined carbohydrate with a high glycemic index, causing a rapid spike in blood sugar levels. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar."
Instant Pot Bahn Flan (Vietnamese Flan),1,0,1,0,"egg (positive): Excellent source of protein with minimal carbohydrates, which helps with blood sugar control and satiety. | white sugar (very negative): A simple sugar with no nutritional value that causes a very rapid and significant spike in blood sugar levels."
Biriyani,12,2,0,0,"yogurt (positive): Plain, unsweetened yogurt is a good source of protein and probiotics, which can be beneficial for blood sugar control. | tomato (positive): A non-starchy vegetable, low in carbohydrates and calories, and a good source of vitamins and fiber. | ginger paste (positive): Ginger may help lower blood sugar levels and improve insulin sensitivity. | green chile pepper (positive): Low in carbohydrates and contains capsaicin, which may have modest benefits for blood sugar management. | distilled white vinegar (positive): May help improve insulin sensitivity and lower the glycemic response of a meal. | cilantro (positive): A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | chicken (positive): An excellent source of lean protein with no carbohydrates, which helps with satiety and does not raise blood sugar. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | basmati rice (negative): A refined carbohydrate that raises blood sugar; while its glycemic index is lower than other white rices, portion control is crucial. | olive oil (positive): Excellent source of monounsaturated fats which can improve insulin sensitivity. | cinnamon stick (positive): May help lower blood sugar levels and improve insulin sensitivity. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar."
Balti Chicken Pasanda,11,2,0,0,"ginger (positive): Contains compounds that may improve insulin sensitivity and have anti-inflammatory effects. | chile powder (positive): Contains capsaicin from ground chiles, which may help regulate blood sugar levels. | green chile pepper (positive): Low in carbohydrates and contains capsaicin, which may have modest benefits for blood sugar management. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | chicken (positive): An excellent source of lean protein with no carbohydrates, which helps with satiety and does not raise blood sugar. | black cumin seed (positive): Some studies suggest it may help improve blood sugar control and insulin sensitivity. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | light cream (negative): High in saturated fat, which can contribute to insulin resistance and cardiovascular disease risk. | almond (positive): High in healthy fats, fiber, and magnesium, which can help improve blood sugar control and insulin sensitivity. | cinnamon stick (positive): May help lower blood sugar levels and improve insulin sensitivity. | cilantro (positive): A nutrient-dense, low-carbohydrate herb that adds flavor without affecting blood sugar. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | greek yogurt (positive): High in protein, which can help with satiety and blood sugar control. Choose plain, unsweetened varieties."
Cordon Bleu Chicken Rolls,2,6,0,0,"sour cream (negative): High in saturated fat, which can impact heart health. Low-fat or fat-free options are better alternatives. | condensed cream of chicken soup (negative): Usually high in sodium, refined carbohydrates, and unhealthy fats. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | ham (negative): A processed meat that is typically very high in sodium and may contain added sugars. | lemon juice (positive): Very low in sugar and can help lower the glycemic index of a meal. | chicken breast (positive): A very lean source of protein with no carbohydrates, ideal for blood sugar control and weight management. | cornflakes cereal (negative): A highly processed, high-glycemic-index carbohydrate that will cause a rapid spike in blood sugar. | butter (negative): High in saturated fat, which can contribute to insulin resistance and cardiovascular issues, common concerns for diabetics."
Cheater Pierogi,5,4,2,0,"butter (negative): High in saturated fat, which can contribute to insulin resistance and cardiovascular issues, common concerns for diabetics. | sour cream (negative): High in saturated fat, which can impact heart health. Low-fat or fat-free options are better alternatives. | cayenne pepper (positive): Contains capsaicin, which may have a modest beneficial effect on blood glucose and metabolism. | bacon (very negative): Processed meat high in saturated fat and sodium, which significantly increases cardiovascular risk. | egg (positive): Excellent source of protein with minimal carbohydrates, which helps with blood sugar control and satiety. | wonton wrapper (negative): Made from refined flour, a high-glycemic carbohydrate that can quickly raise blood sugar. | chive (positive): A low-carbohydrate herb that adds flavor without impacting blood sugar. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | bacon dripping (very negative): Pure saturated fat and sodium, which significantly increases cardiovascular risk. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | yukon gold potato (negative): A starchy vegetable high in carbohydrates that can cause a significant rise in blood sugar levels."
Beijinho de Coco (Coconut Little Kiss),1,2,1,0,"clove (positive): A spice containing antioxidants that may help improve insulin sensitivity. | butter (negative): High in saturated fat, which can contribute to insulin resistance and cardiovascular issues, common concerns for diabetics. | coconut (negative): High in saturated fat, which should be limited to manage cardiovascular risk associated with diabetes. | sweetened condensed milk (very negative): Extremely high in added sugar, causing a severe and rapid spike in blood glucose."
Beef Asado,7,5,1,0,"ketchup (negative): Typically contains significant amounts of added sugar and sodium, which negatively impact blood sugar and blood pressure. | potato (negative): A starchy vegetable with a high glycemic index that can cause significant spikes in blood sugar levels. | garlic (positive): May improve cardiovascular health and has been shown in some studies to have a modest blood sugar-lowering effect. | peppercorn (positive): Adds flavor without calories, sugar, or sodium and contains antioxidants. | salt (negative): High sodium intake is linked to high blood pressure, a significant risk for people with diabetes. | manzanilla olive (positive): A good source of healthy monounsaturated fats and low in carbohydrates. Be mindful of sodium content from brine. | beef bouillon cube (negative): Extremely high in sodium, which can negatively impact blood pressure, a common concern for people with diabetes. | red bell pepper (positive): A non-starchy vegetable, low in carbohydrates and high in vitamins and fiber. | water (positive): Essential for hydration and overall health, helps manage blood sugar levels, and contains no calories or sugar. | corn flour (very negative): A refined starch with a high glycemic index that can cause a rapid and significant spike in blood sugar. | onion (positive): Low glycemic index and contains beneficial compounds that may help regulate blood sugar. | beef chuck roast (negative): A fattier cut of beef, high in saturated fat which can contribute to insulin resistance and cardiovascular risk. | tomato (positive): A non-starchy vegetable, low in carbohydrates and calories, and a good source of vitamins and fiber."
