menu_title,positive,negative,very_negative,neutral,reasoning
Curry Stand Chicken Tikka Masala Sauce,9,2,3,0,"ginger (positive): Contains anti-inflammatory and antioxidant compounds that may help lower blood pressure and cholesterol. | heavy whipping cream (very negative): Extremely high in saturated fat, which significantly raises LDL (bad) cholesterol levels. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | cayenne pepper (positive): Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol. | ghee (negative): A form of clarified butter that is very high in saturated fat, which can raise LDL (bad) cholesterol. | cinnamon (positive): Has anti-inflammatory properties and may help lower blood sugar, cholesterol, and triglycerides. | cumin (positive): A spice with anti-inflammatory and antioxidant properties. | white sugar (very negative): High intake is strongly linked to inflammation, obesity, high triglycerides, and high blood pressure. | paprika (positive): Contains antioxidants like carotenoids, which help protect against oxidative stress. | chicken breast (positive): An excellent source of lean protein, low in saturated fat, which is a cornerstone of a heart-healthy diet. | curry powder (positive): A blend of spices (like turmeric and cumin) with anti-inflammatory and antioxidant benefits. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | vegetable oil (negative): This general term often refers to highly processed oils (like soy, corn) high in omega-6 fatty acids, which can be pro-inflammatory in excess."
Filipino-Style Congee (Lugaw),8,2,1,0,"ginger (positive): Contains anti-inflammatory and antioxidant compounds that may help lower blood pressure and cholesterol. | green onion (positive): Contains antioxidants and compounds that may help lower blood pressure and cholesterol. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | white rice (negative): A refined grain with a high glycemic index, linked to increased risk of metabolic syndrome. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | chicken breast (positive): An excellent source of lean protein, low in saturated fat, which is a cornerstone of a heart-healthy diet. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | fish sauce (very negative): Extremely high in sodium, which is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | vegetable oil (negative): This general term often refers to highly processed oils (like soy, corn) high in omega-6 fatty acids, which can be pro-inflammatory in excess."
Air Fryer Chicken Katsu with Homemade Katsu Sauce,3,3,1,0,"ketchup (negative): Typically high in added sugar and sodium, which can contribute to high blood pressure and other cardiovascular risk factors. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | soy sauce (negative): Extremely high in sodium, which contributes to high blood pressure. | brown sugar (negative): An added sugar, which contributes to inflammation, high triglycerides, and increased cardiovascular risk. | chicken breast (positive): An excellent source of lean protein, low in saturated fat, which is a cornerstone of a heart-healthy diet."
Tom Ka Gai (Coconut Chicken Soup),6,1,1,0,"green onion (positive): Contains antioxidants and compounds that may help lower blood pressure and cholesterol. | cayenne pepper (positive): Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol. | cilantro (positive): An herb rich in antioxidants and vitamins that can help reduce inflammation and oxidative stress. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | ginger root (positive): Contains gingerol, which has anti-inflammatory and antioxidant properties that may help lower blood pressure and cholesterol. | fish sauce (very negative): Extremely high in sodium, which is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | lime juice (positive): Source of vitamin C and antioxidants; can be used as a salt substitute to lower sodium intake. | vegetable oil (negative): This general term often refers to highly processed oils (like soy, corn) high in omega-6 fatty acids, which can be pro-inflammatory in excess."
Bacalao a la Vizcaina (Basque-Style Codfish Stew),7,3,0,0,"potato (positive): Good source of potassium, which helps manage blood pressure. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | roasted red bell pepper (positive): Rich in antioxidants, potassium, and vitamins which support heart health. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | green olive (negative): Typically cured in brine, making them very high in sodium, which can increase blood pressure. | white wine (negative): Excessive alcohol intake can lead to high blood pressure, heart failure, and stroke. | caper (negative): Typically preserved in brine, making them very high in sodium, which can raise blood pressure."
Canadian Yellow Split Pea Soup with Ham,5,2,0,0,"carrot (positive): Excellent source of potassium, fiber, and antioxidants, which support healthy blood pressure and heart function. | kosher salt (negative): High in sodium, which is a major contributor to high blood pressure. | ham bone (negative): Adds significant sodium and saturated fat to dishes. | celery (positive): Contains potassium and compounds that may help lower blood pressure; it is also low in calories. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | spanish onion (positive): Contains antioxidants and compounds like quercetin that may help reduce blood pressure and inflammation. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat."
Adobong Pusit (Squid Adobo),5,1,1,0,"garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | soy sauce (negative): Extremely high in sodium, which contributes to high blood pressure. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation."
Israeli Tomato and Cucumber Salad,10,1,0,0,"kosher salt (negative): High in sodium, which is a major contributor to high blood pressure. | parsley (positive): Rich in vitamin K and antioxidants, which support heart and blood vessel health. | mint (positive): A herb that contains beneficial antioxidants. | purple onion (positive): Contains antioxidants like quercetin that support cardiovascular health. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | roma tomato (positive): Rich in lycopene, potassium, and antioxidants, which are linked to a lower risk of heart disease. | english cucumber (positive): High in water, fiber, and potassium, which helps with hydration and blood pressure management. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | lemon juice (positive): Source of vitamin C and antioxidants; can be used as a salt substitute to lower sodium intake. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | red bell pepper (positive): Rich in antioxidants, potassium, and vitamins A and C, which support heart health."
Danish Almond Puff,2,3,1,0,"milk (negative): Unless specified as low-fat, milk (especially whole or 2%) is a significant source of saturated fat. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | candy sprinkle (negative): Composed almost entirely of sugar, which contributes to various cardiovascular risk factors. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | all purpose flour (negative): A refined carbohydrate that lacks fiber and can contribute to higher blood sugar and triglycerides, increasing heart disease risk. | butter (very negative): High in saturated fat, which raises LDL (bad) cholesterol levels, a major risk factor for heart disease."
Instant Pot Haluski with Kielbasa,2,2,3,0,"egg noodle (negative): Typically made from refined flour, which can negatively impact blood sugar and triglyceride levels. | cabbage (positive): Rich in fiber, vitamins, and antioxidants, which can help reduce inflammation and lower cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | chicken broth (negative): Commercially prepared versions are typically very high in sodium. Low-sodium or homemade versions can be positive. | butter (very negative): High in saturated fat, which raises LDL (bad) cholesterol levels, a major risk factor for heart disease. | kielbasa sausage (very negative): A highly processed meat, very high in sodium and saturated fat, which are major risk factors for cardiovascular disease."
Slow Cooker Spanish Beef Stew,4,2,0,0,"beef stew meat (negative): Often from fatty cuts like chuck, making it high in saturated fat. | potato (positive): Good source of potassium, which helps manage blood pressure. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | sofrito (positive): Typically made from a base of heart-healthy vegetables like tomatoes, onions, and garlic. | spanish onion (positive): Contains antioxidants and compounds like quercetin that may help reduce blood pressure and inflammation. | green olive (negative): Typically cured in brine, making them very high in sodium, which can increase blood pressure."
Macarons (French Macaroons),2,0,1,0,"sugar (very negative): Excess consumption is a major contributor to obesity, inflammation, high triglycerides, and insulin resistance, all key risk factors for cardiovascular disease. | egg white (positive): Excellent source of lean protein with no cholesterol or saturated fat. | almond (positive): Rich in monounsaturated fats, fiber, and vitamin E, which help lower LDL (bad) cholesterol and support heart health."
Instant Pot® Cuban-Style Black Beans,10,1,2,0,"garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | bacon (very negative): Extremely high in saturated fat and sodium, and is a processed meat linked to increased cardiovascular disease risk. | jalapeno pepper (positive): Contains capsaicin, which has anti-inflammatory properties and may help improve circulation and lower blood pressure. | black bean (positive): High in soluble fiber, which helps lower cholesterol, and rich in heart-healthy minerals like magnesium and potassium. | cumin (positive): A spice with anti-inflammatory and antioxidant properties. | red wine vinegar (positive): May help with blood sugar control and is a sodium-free way to add flavor. | chicken broth (negative): Commercially prepared versions are typically very high in sodium. Low-sodium or homemade versions can be positive. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | oregano (positive): Rich in antioxidants that help combat inflammation and oxidative stress. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | lime (positive): Source of vitamin C and antioxidants. | cilantro (positive): An herb rich in antioxidants and vitamins that can help reduce inflammation and oxidative stress. | sazon seasoning (very negative): A commercial seasoning blend that is typically extremely high in sodium."
Goat Stew,9,3,1,0,"carrot (positive): Excellent source of potassium, fiber, and antioxidants, which support healthy blood pressure and heart function. | potato (positive): Good source of potassium, which helps manage blood pressure. | green pea (positive): Good source of fiber, potassium, and magnesium, which help regulate blood pressure and cholesterol. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | cayenne pepper (positive): Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol. | soy sauce (negative): Extremely high in sodium, which contributes to high blood pressure. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | beef stock (negative): Commercial versions are typically very high in sodium, which can raise blood pressure. | vinegar (positive): Some studies suggest it may help improve blood sugar control and blood pressure. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | red bell pepper (positive): Rich in antioxidants, potassium, and vitamins A and C, which support heart health. | vegetable oil (negative): This general term often refers to highly processed oils (like soy, corn) high in omega-6 fatty acids, which can be pro-inflammatory in excess."
Keema Aloo (Ground Beef and Potatoes),12,0,1,0,"potato (positive): Good source of potassium, which helps manage blood pressure. | green pea (positive): Good source of fiber, potassium, and magnesium, which help regulate blood pressure and cholesterol. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | garam masala (positive): A blend of spices with antioxidant and anti-inflammatory properties. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | cayenne pepper (positive): Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol. | serrano chile pepper (positive): Contains capsaicin, which may have benefits for blood pressure and cholesterol. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | cumin (positive): A spice with anti-inflammatory and antioxidant properties. | spanish onion (positive): Contains antioxidants and compounds like quercetin that may help reduce blood pressure and inflammation. | cilantro (positive): An herb rich in antioxidants and vitamins that can help reduce inflammation and oxidative stress. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | ginger root (positive): Contains gingerol, which has anti-inflammatory and antioxidant properties that may help lower blood pressure and cholesterol."
Chef John's Quick Cassoulet,5,4,4,0,"bread crumb (negative): Typically made from refined white bread, which lacks fiber and can negatively impact blood sugar and heart health risk factors. | chicken thigh (negative): Dark meat, which is higher in saturated fat than chicken breast, especially when consumed with the skin. | parmesan cheese (negative): Very high in sodium and saturated fat, which can negatively impact blood pressure and cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | bacon (very negative): Extremely high in saturated fat and sodium, and is a processed meat linked to increased cardiovascular disease risk. | cayenne pepper (positive): Contains capsaicin, which may help improve circulation, reduce blood pressure, and lower cholesterol. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | rosemary (positive): Contains antioxidants and anti-inflammatory compounds that may improve circulation and heart health. | chicken broth (negative): Commercially prepared versions are typically very high in sodium. Low-sodium or homemade versions can be positive. | cannellini bean (positive): A legume rich in soluble fiber, potassium, and magnesium, which help lower cholesterol and blood pressure. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | butter (very negative): High in saturated fat, which raises LDL (bad) cholesterol levels, a major risk factor for heart disease. | sausage (very negative): Processed meat high in saturated fat, sodium, and preservatives, all strongly linked to cardiovascular disease."
Stir-Fried Mushrooms with Baby Corn,7,2,1,0,"garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | oyster sauce (negative): Typically very high in sodium, which contributes to high blood pressure. | mushroom (positive): Low in calories and sodium, and a good source of potassium and antioxidants. | soy sauce (negative): Extremely high in sodium, which contributes to high blood pressure. | red chile pepper (positive): Contains capsaicin, which may have anti-inflammatory and antioxidant benefits. | baby corn ear (positive): A vegetable that provides fiber and is low in fat and sodium. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | fish sauce (very negative): Extremely high in sodium, which is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | cilantro (positive): An herb rich in antioxidants and vitamins that can help reduce inflammation and oxidative stress."
Meze Fava Beans,5,1,2,0,"fava bean (positive): Rich in soluble fiber, which helps lower cholesterol, and a good source of heart-healthy minerals like magnesium and potassium. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | lemon juice (positive): Source of vitamin C and antioxidants; can be used as a salt substitute to lower sodium intake. | white sugar (very negative): High intake is strongly linked to inflammation, obesity, high triglycerides, and high blood pressure. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | all purpose flour (negative): A refined carbohydrate that lacks fiber and can contribute to higher blood sugar and triglycerides, increasing heart disease risk. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation."
Instant Pot Bahn Flan (Vietnamese Flan),1,1,1,0,"milk (negative): Unless specified as low-fat, milk (especially whole or 2%) is a significant source of saturated fat. | egg (positive): Good source of protein and nutrients like choline. Dietary cholesterol in eggs has minimal impact on blood cholesterol for most people. | white sugar (very negative): High intake is strongly linked to inflammation, obesity, high triglycerides, and high blood pressure."
Biriyani,13,1,1,0,"mint (positive): A herb that contains beneficial antioxidants. | green cardamom (positive): A spice with antioxidant and anti-inflammatory properties that may help lower blood pressure. | ginger paste (positive): Contains gingerol, which has anti-inflammatory and antioxidant properties that may help lower blood pressure and cholesterol. | green chile pepper (positive): Contains capsaicin, which has anti-inflammatory properties and may help improve circulation and lower blood pressure. | cilantro (positive): An herb rich in antioxidants and vitamins that can help reduce inflammation and oxidative stress. | garam masala (positive): A blend of spices with antioxidant and anti-inflammatory properties. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | black pepper (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | water (positive): Proper hydration is essential for maintaining blood volume and cardiovascular function, without adding calories, sugar, or fat. | basmati rice (negative): A refined carbohydrate that can raise blood sugar levels; whole grain alternatives are better for heart health. | black cardamom (positive): Contains antioxidants and has been studied for potential benefits in lowering blood pressure. | olive oil (positive): A primary source of monounsaturated fats, which helps lower bad (LDL) cholesterol and reduce inflammation. | cinnamon stick (positive): Has anti-inflammatory properties and may help lower blood sugar, cholesterol, and triglycerides. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation."
Balti Chicken Pasanda,12,2,1,0,"ginger (positive): Contains anti-inflammatory and antioxidant compounds that may help lower blood pressure and cholesterol. | chile powder (positive): Contains capsaicin from ground chiles, which may improve cardiovascular markers like blood pressure and cholesterol. | green chile pepper (positive): Contains capsaicin, which has anti-inflammatory properties and may help improve circulation and lower blood pressure. | garam masala (positive): A blend of spices with antioxidant and anti-inflammatory properties. | garlic (positive): Well-known for its potential to help lower blood pressure and cholesterol. | black cumin seed (positive): Studies suggest it may help lower blood pressure, cholesterol, and inflammation. | salt (very negative): High sodium intake is a primary driver of high blood pressure, a major risk factor for cardiovascular disease. | green cardamom (positive): A spice with antioxidant and anti-inflammatory properties that may help lower blood pressure. | light cream (negative): Contains saturated fat, which can raise LDL (bad) cholesterol levels. | almond (positive): Rich in monounsaturated fats, fiber, and vitamin E, which help lower LDL (bad) cholesterol and support heart health. | black peppercorn (positive): Contains piperine, an antioxidant that may help manage cholesterol levels and reduce inflammation. | cinnamon stick (positive): Has anti-inflammatory properties and may help lower blood sugar, cholesterol, and triglycerides. | cilantro (positive): An herb rich in antioxidants and vitamins that can help reduce inflammation and oxidative stress. | onion (positive): Contains antioxidants like quercetin, which may help lower blood pressure and reduce inflammation. | vegetable oil (negative): This general term often refers to highly processed oils (like soy, corn) high in omega-6 fatty acids, which can be pro-inflammatory in excess."
